0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0
0,326,326,21,0,0,0,0,0,0,0,0,0,0,0,0
0,320,320,22,0,0,0,0,0,0,0,0,0,0,0,0
0,353,353,23,0,0,0,0,0,0,0,0,0,0,0,0
0,323,323,25,0,0,0,0,0,0,0,0,0,0,0,0
0,329,329,20,0,0,0,0,0,0,0,0,0,0,0,0
0,292,292,30,55,0,0,0,0,0,0,0,0,0,0,0
0,276,276,31,62,0,0,0,0,0,0,0,0,0,0,0
0,238,238,20,54,0,0,0,0,0,0,0,0,0,0,0
0,268,268,30,132,0,0,0,0,0,0,0,0,0,0,0
0,231,231,23,205,0,0,0,0,0,0,0,0,0,0,0
0,223,223,34,221,0,0,0,0,0,0,0,0,0,0,0
0,180,180,27,304,0,0,0,0,0,0,0,0,0,0,0
0,186,186,60,239,0,0,0,0,0,0,0,0,0,0,0
0,194,194,54,348,0,0,0,0,0,0,0,0,0,0,0
0,180,180,54,339,0,0,0,0,0,0,0,0,0,0,0
0,149,149,81,391,0,0,0,0,0,0,0,0,0,0,0
0,124,124,95,397,0,0,0,0,0,0,0,0,0,0,0
0,122,122,114,391,0,0,0,0,0,0,0,0,0,0,0
0,125,125,89,362,0,0,0,0,0,0,0,0,0,0,0
0,121,121,77,347,0,0,0,0,0,0,0,0,0,0,0
0,129,129,74,459,0,0,0,0,0,0,0,0,0,0,0
0,114,114,79,243,0,0,0,0,0,0,0,0,0,0,0
0,127,127,122,419,0,0,0,0,0,0,0,0,0,0,0
0,123,123,138,253,0,0,0,0,0,0,0,0,0,0,0
0,127,127,122,220,0,0,0,0,0,0,0,0,0,0,0
0,71,71,144,388,0,0,0,0,0,0,0,0,0,0,0
0,80,80,118,413,0,0,0,0,0,0,0,0,0,0,0
0,108,108,74,335,0,0,0,0,0,0,0,0,0,0,0
0,112,112,94,360,0,0,0,0,0,0,0,0,0,0,0
0,115,115,67,376,0,0,0,0,0,0,0,0,0,0,0
0,131,131,60,451,0,0,0,0,0,0,0,0,0,0,0
0,134,134,66,390,0,0,0,0,0,0,0,0,0,0,0
0,95,95,44,478,0,0,0,0,0,0,0,0,0,0,0
0,114,114,71,458,0,0,0,0,0,0,0,0,0,0,0
0,116,116,81,426,0,0,0,0,0,0,0,0,0,0,0
0,100,100,60,284,0,0,0,0,0,0,0,0,0,0,0
0,89,89,50,250,0,0,0,0,0,0,0,0,0,0,0
0,78,78,49,239,0,0,0,0,0,0,0,0,0,0,0
0,71,71,26,223,0,0,0,0,0,0,0,0,0,0,0
0,63,63,199,372,0,0,0,0,0,0,0,0,0,0,0
0,82,82,133,415,0,0,0,0,0,0,0,0,0,0,0
0,50,50,115,404,0,0,0,0,0,0,0,0,0,0,0
0,50,50,110,401,0,0,0,0,0,0,0,0,0,0,0
0,46,46,264,375,0,0,0,0,0,0,0,0,0,0,0
0,35,35,156,204,0,0,0,0,0,0,0,0,0,0,0
0,42,42,255,176,0,0,0,0,0,0,0,0,0,0,0
0,24,24,251,114,24,0,0,0,0,0,0,0,0,0,0
0,28,28,217,116,29,0,0,0,0,0,0,0,0,0,0
0,0,0,225,167,27,0,0,0,0,0,0,0,0,0,0
0,0,0,111,227,48,0,0,0,0,0,0,0,0,0,0
0,0,0,153,307,23,21,0,0,0,0,0,0,0,0,0
0,0,0,150,331,67,23,0,0,0,0,0,0,0,0,0
0,0,0,111,396,54,58,0,0,0,0,0,0,0,0,0
0,0,0,104,356,68,90,0,0,0,0,0,0,0,0,0
0,0,0,152,294,54,50,0,0,0,0,0,0,0,0,0
0,0,0,102,204,54,41,0,0,0,0,0,0,0,0,0
0,0,0,133,168,61,36,0,0,0,0,0,0,0,0,0
0,0,0,78,179,55,45,0,0,0,0,0,0,0,0,0
0,0,0,96,150,44,81,0,0,0,0,0,0,0,0,0
0,0,0,80,157,36,108,0,0,0,0,0,0,0,0,0
0,0,0,111,142,195,119,0,0,0,0,0,0,0,0,0
0,0,0,127,170,160,79,0,0,0,0,0,0,0,0,0
0,0,0,99,204,170,59,0,0,0,0,0,0,0,0,0
0,0,0,77,166,147,82,0,0,0,0,0,0,0,0,0
0,0,0,65,192,142,102,20,0,0,0,0,0,0,0,0
0,0,0,76,119,127,111,29,0,0,0,0,0,0,0,0
0,0,0,86,128,124,139,33,0,0,0,0,0,0,0,0
0,0,0,87,132,136,105,41,0,0,0,0,0,0,0,0
0,0,0,114,133,176,100,40,0,0,0,0,0,0,0,0
0,0,0,109,189,188,110,31,0,0,0,0,0,0,0,0
29,0,0,109,195,196,78,40,0,0,0,0,0,0,0,0
104,0,0,104,181,161,105,22,0,0,0,0,0,0,0,0
112,0,0,112,207,191,126,27,0,0,0,0,0,0,0,0
106,0,0,106,177,167,199,0,0,0,0,0,0,0,0,0
176,0,0,176,148,171,262,22,0,0,0,0,0,0,0,0
116,0,0,116,98,158,328,0,0,0,0,0,0,0,0,0
116,22,22,116,161,167,343,27,0,0,0,0,0,0,0,0
136,176,176,136,176,170,336,0,0,0,0,0,0,0,0,0
131,166,166,131,166,180,344,0,0,0,0,0,0,0,0,0
109,117,117,109,117,153,453,0,0,0,0,0,0,0,0,0
156,115,115,156,115,154,420,0,0,0,0,0,0,0,0,0
131,119,119,131,119,177,376,0,0,0,0,0,0,0,0,0
131,115,115,131,115,206,376,0,0,0,0,0,0,0,0,0
131,88,88,131,88,207,357,357,0,0,0,0,0,0,0,0
150,73,73,150,73,166,346,346,26,0,0,0,0,0,0,0
137,84,84,137,84,177,201,201,61,0,0,0,0,0,0,0
149,65,65,149,65,179,218,218,67,0,0,0,0,0,0,0
130,32,32,130,32,184,144,144,70,0,0,0,0,0,0,0
179,43,43,179,43,195,141,141,57,0,0,0,0,0,0,0
140,47,47,140,47,205,99,99,31,0,0,0,0,0,0,0
201,29,29,201,29,228,132,132,0,0,0,0,0,0,0,0
149,38,38,149,38,249,92,92,0,0,0,0,0,0,0,0
180,180,180,180,180,276,77,77,0,0,0,0,0,0,0,0
166,166,166,166,166,255,62,62,0,0,0,0,0,0,0,0
150,150,150,150,150,210,22,22,23,0,0,0,0,0,0,0
198,198,198,198,198,207,21,21,20,0,0,0,0,0,0,0
190,190,190,190,190,229,27,27,28,0,0,0,0,0,0,0
137,137,137,137,137,211,28,28,31,0,0,0,0,0,0,0
127,127,127,127,127,211,0,0,45,0,0,0,0,0,0,0
171,171,171,171,171,233,0,0,43,0,0,0,0,0,0,0
199,199,199,199,199,224,0,0,0,0,0,0,0,0,0,0
152,152,152,152,152,229,0,0,24,0,0,0,0,0,0,0
181,181,181,181,181,218,0,0,0,0,0,0,0,0,0,0
