Coordinate,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
"[152.86850422462217, -28.12609922894169]",447,16,2047.115000000001,192.717,False,-1.6029724493118511,05:24
"[152.9096043003732, -28.096715679104467]",506,30,2352.7149999999992,424.205,False,1.3388749434137543,05:26
"[152.932688510891, -28.04337140396038]",462,43,2000.676999999999,591.0789999999998,False,-0.5418040594333549,05:28
"[152.92144368884553, -28.05908291780825]",475,36,2055.153000000002,407.078,False,0.091534272557197,05:30
"[152.92290880701748, -28.031087686403506]",407,49,1741.9859999999992,691.0050000000001,False,-0.8673201825780684,05:32
"[152.93092221377668, -28.00616934679334]",379,42,1646.001999999999,526.3950000000001,False,-0.65446289300592,05:34
"[152.99197983905583, -27.971156042918437]",447,19,1931.8919999999987,207.413,False,0.8901210690946137,05:36
"[153.003913985138, -27.944686333333316]",454,17,1946.943000000001,230.265,False,0.1260682264148248,05:38
"[152.99221855244758, -27.941716447552455]",389,40,1725.0230000000004,571.765,False,-1.0750868896080217,05:40
"[152.99034671491222, -27.95142319078948]",412,44,1712.139,691.976,False,0.6587717630123124,05:42
"[152.99118170999998, -27.92431505600002]",451,49,2023.852,680.3490000000003,False,1.1586974369293912,05:44
"[153.02371148984773, -27.892819560913686]",370,24,1665.526999999999,299.861,False,-2.931242868111478,05:46
"[153.0339719489559, -27.88800671693736]",404,27,1669.1509999999996,370.12799999999993,False,0.6113156035326923,05:48
"[153.03495341085272, -27.883999527131788]",372,15,1682.5609999999992,178.98900000000003,False,-0.6806791897710257,05:50
"[153.027072089431, -27.877716604336012]",351,18,1654.351999999999,239.118,False,-0.2773073070766255,05:52
"[153.02757322781062, -27.861681979289916]",329,9,1407.4920000000002,163.77699999999996,False,-0.5014500925322916,05:54
"[153.02237992999997, -27.846034930000016]",280,20,1150.7750000000003,220.746,False,-0.7389724271451389,05:56
"[153.01617277374305, -27.845224737430172]",332,26,1488.2310000000002,353.73299999999995,False,1.775852316042141,05:58
"[153.0213423562006, -27.816683910290266]",353,26,1473.2809999999995,357.386,False,0.5033207739310869,06:00
"[153.04730346749233, -27.800750126934975]",300,23,1293.3909999999998,339.74299999999994,False,-1.3869291072897303,06:02
"[153.04163301273874, -27.78468516560509]",298,16,1332.7719999999997,227.04,False,-0.1905556919520635,06:04
"[153.06750550292398, -27.75791492690056]",316,26,1443.6079999999984,358.636,False,0.6128073784453565,06:06
"[153.05625702931601, -27.748629983713368]",281,26,1202.2710000000006,413.485,False,-0.8108241068831781,06:08
"[153.0428085838508, -27.727258335403732]",310,12,1356.5319999999986,171.798,False,0.4181697455766553,06:10
"[153.04294909883723, -27.714501619186052]",320,24,1419.5539999999996,440.229,False,0.6350059253282861,06:12
"[153.0341496255815, -27.692577283720933]",406,24,1820.7129999999984,306.67100000000005,True,3.3035410551444544,06:14
"[153.04132701848053, -27.673897425051333]",467,20,2069.0060000000008,319.251,LJ_Continues,1.323186227375258,06:16
"[153.05238308020475, -27.662315730375436]",551,35,2603.0930000000003,461.707,True,2.1637083047157413,06:18
"[153.04773325589215, -27.646680518518515]",567,27,2719.8410000000026,356.268,LJ_Continues,0.2140614290586016,06:20
"[153.0549546880133, -27.633127998357974]",570,39,2830.272999999996,725.8599999999998,LJ_Continues,0.3810864424956269,06:22
"[153.05913987230522, -27.609411827529012]",576,27,2939.639000000001,414.33699999999993,LJ_Continues,-0.1467128613214603,06:24
"[153.06294381132065, -27.605646864779878]",590,46,3170.916,766.1790000000001,False,0.7677949030531092,06:26
"[153.06359773848234, -27.59393948644986]",694,44,3522.768000000002,588.8929999999999,True,2.478460078768183,06:28
"[153.0663618039216, -27.58304671988793]",659,55,3398.706999999999,1011.997,LJ_Continues,-0.5657954514295196,06:30
"[153.07293199100445, -27.56622539880057]",630,37,3210.2189999999982,693.5110000000001,LJ_Continues,-0.9669676597624426,06:32
"[153.07144300431025, -27.555246437499985]",428,36,2315.4649999999965,528.2790000000002,LJ_Continues,-3.4761599002509533,06:34
"[153.08311951428567, -27.54217952747253]",428,27,2252.387999999997,423.9769999999999,False,-0.0792230807286756,06:36
"[153.07876458236666, -27.5445598074246]",400,31,1823.766999999997,427.797,False,-0.2192562696948385,06:38
"[153.0744579896907, -27.503958479381446]",360,28,1737.3940000000005,464.658,False,-0.5354001624518427,06:40
"[153.07112427906983, -27.493035555555586]",368,19,1778.8940000000007,248.65,False,-0.0127337401630223,06:42
"[153.0807993105884, -27.47217447294118]",398,27,1834.7960000000007,383.176,False,0.4538951755206971,06:44
"[153.05150661791035, -27.4690291761194]",313,22,1436.2770000000005,354.155,False,-2.980688088470554,06:46
"[153.07117702848998, -27.44545433618233]",344,7,1640.822999999999,212.057,False,0.3356356136146947,06:48
"[153.05733341958052, -27.426134174825165]",275,11,1318.826999999999,150.97899999999998,False,-1.2765974544672136,06:50
"[153.04798505944052, -27.416547944055942]",279,7,1314.798,69.44300000000001,False,0.0,06:52
"[153.09691291878173, -27.401515228426387]",182,15,943.5609999999998,269.076,False,-1.6259403424469328,06:54
"[153.0383995346938, -27.392750122448987]",233,12,1162.1249999999998,136.849,False,0.9549898952531516,06:56
"[153.04660033744855, -27.38750462551438]",224,19,1056.3720000000003,356.115,False,-0.0349668518384917,06:58
"[153.00652205150215, -27.373491236051485]",219,14,1023.060999999999,199.02200000000005,False,-0.1816591120754282,07:00
"[153.05784719417474, -27.348483315534]",185,21,858.6169999999998,286.60799999999995,False,-0.5463975199575029,07:02
