90,426,0,34,0,426
65,589,0,29,0,589
38,473,0,33,0,473
26,457,0,30,0,457
32,470,0,38,0,470
50,489,0,33,0,489
69,436,0,40,0,436
130,441,0,38,0,441
190,327,0,73,0,327
244,357,0,53,0,357
324,294,0,41,0,294
336,195,0,46,0,195
285,280,0,45,0,280
315,280,0,64,0,280
264,284,0,36,0,284
289,301,0,52,0,301
259,273,0,61,0,273
273,275,0,108,0,275
286,283,0,86,0,283
240,245,0,79,0,245
262,246,0,104,0,246
264,205,0,107,0,205
238,203,0,119,0,203
215,261,0,91,0,261
153,334,0,81,0,334
222,280,0,69,0,280
208,254,0,54,0,254
185,262,0,42,0,262
173,291,0,22,0,291
223,302,0,20,0,302
219,255,0,41,0,255
204,281,0,39,0,281
176,237,0,29,0,237
193,299,0,40,0,299
242,236,0,28,0,236
179,247,0,0,0,247
221,289,0,0,0,289
205,289,0,0,0,289
167,304,0,0,0,304
131,276,0,0,0,276
102,262,0,0,0,262
153,304,0,0,0,304
105,308,0,0,0,308
89,354,0,0,0,354
54,322,0,0,0,322
51,422,0,0,0,422
61,516,0,0,0,516
31,520,0,0,0,520
30,569,0,0,0,569
32,675,0,0,0,675
34,646,0,0,0,646
37,655,0,0,0,655
21,663,0,0,0,663
80,626,0,0,0,626
58,593,0,0,0,593
62,584,0,0,0,584
73,637,0,0,0,637
67,640,0,0,0,640
72,611,0,0,0,611
112,627,0,0,0,627
120,614,0,0,0,614
177,662,0,0,0,662
216,593,0,0,0,593
177,601,0,0,0,601
184,723,0,0,0,723
182,728,0,0,0,728
156,695,0,0,0,695
198,642,0,0,0,642
219,710,0,0,0,710
172,617,0,0,0,617
194,620,0,0,0,620
217,563,0,0,0,563
187,576,0,0,0,576
137,600,0,0,0,600
152,567,0,0,0,567
173,500,0,0,0,500
200,467,0,0,0,467
175,474,0,0,0,474
181,392,0,0,0,392
150,353,0,0,0,353
142,305,0,0,0,305
141,330,0,0,0,330
179,289,0,0,0,289
173,299,0,0,0,299
165,279,0,0,0,279
147,399,0,0,0,399
181,381,0,0,0,381
152,333,0,0,0,333
166,242,0,0,0,242
183,290,0,0,0,290
164,317,0,0,0,317
146,315,0,0,0,315
149,322,0,0,0,322
161,283,0,0,0,283
166,348,0,0,0,348
128,332,0,0,0,332
133,303,0,0,0,303
112,286,0,0,0,286
77,204,0,0,0,204
70,243,0,0,0,243
97,211,0,0,0,211
53,203,0,0,0,203
73,134,0,0,0,134
90,180,0,0,0,180
117,125,0,0,0,125
115,109,0,0,0,109
94,81,0,0,0,81
65,129,0,0,0,129
42,104,0,0,0,104
50,76,0,0,0,76
57,72,0,0,0,72
84,52,0,0,0,52
65,33,0,0,0,33
37,70,0,0,0,70
37,82,0,0,0,82
22,129,0,0,0,129
0,179,0,0,0,179
0,199,0,0,0,199
0,216,0,0,0,216
0,139,0,0,0,139
25,158,0,0,0,158
32,137,0,0,0,137
28,112,0,0,0,112
31,107,0,0,0,107
21,97,0,0,0,97
0,89,0,0,0,89
29,72,0,0,0,72
0,104,0,0,0,104
0,93,0,0,0,93
0,85,0,0,0,85
