0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,121,121,434,434,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,130,130,607,607,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,114,493,493,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,127,127,541,541,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,125,125,292,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,129,129,499,499,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,74,598,598,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,82,82,414,414,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,109,390,390,390,80,74,0,0,0,0,0,0,0,0,0,0,0,0,0
0,115,115,657,657,657,657,657,0,0,0,0,0,0,0,0,0,0,0,0,0
0,117,117,548,548,548,548,548,0,0,0,0,0,0,0,0,0,0,0,0,0
0,134,134,703,703,703,703,703,0,0,0,0,0,0,0,0,0,0,0,0,0
0,135,135,585,585,585,585,585,66,0,0,0,0,0,0,0,0,0,0,0,0
0,98,98,590,590,590,590,590,47,0,0,0,0,0,0,0,0,0,0,0,0
0,114,114,647,647,647,647,647,647,0,0,0,0,0,0,0,0,0,0,0,0
0,116,116,641,641,641,641,641,641,0,0,0,0,0,0,0,0,0,0,0,0
0,102,102,622,622,622,622,622,622,0,0,0,0,0,0,0,0,0,0,0,0
0,89,89,614,614,614,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0
0,82,82,630,630,630,630,630,630,0,0,0,0,0,0,0,0,0,0,0,0
0,75,75,651,651,651,651,651,651,21,0,0,0,0,0,0,0,0,0,0,0
0,63,63,582,582,582,582,582,582,26,0,0,0,0,0,0,0,0,0,0,0
0,82,82,671,671,671,671,671,671,36,0,0,0,0,0,0,0,0,0,0,0
0,50,50,630,630,630,630,630,630,20,0,0,0,0,0,0,0,0,0,0,0
0,50,50,675,675,675,675,675,675,0,0,0,0,0,0,0,0,0,0,0,0
0,46,46,668,668,668,668,668,668,28,0,0,0,0,0,0,0,0,0,0,0
0,35,35,639,639,639,639,639,639,20,0,0,0,0,0,0,0,0,0,0,0
0,42,42,351,351,351,351,351,351,351,0,0,0,0,0,0,0,0,0,0,0
0,25,25,324,324,324,324,324,324,324,25,0,0,0,0,0,0,0,0,0,0
0,29,29,354,354,354,354,354,354,354,36,0,0,0,0,0,0,0,0,0,0
0,0,0,435,435,435,435,435,435,435,36,0,0,0,0,0,0,0,0,0,0
0,0,0,468,468,468,468,468,468,468,49,0,0,0,0,0,0,0,0,0,0
0,0,0,495,495,495,495,495,495,495,30,21,0,0,0,0,0,0,0,0,0
0,0,0,727,727,727,727,727,727,727,68,23,0,0,0,0,0,0,0,0,0
0,0,0,662,662,662,662,662,662,662,63,58,0,0,0,0,0,0,0,0,0
0,0,0,677,677,677,677,677,677,677,74,90,0,0,0,0,0,0,0,0,0
0,0,0,447,447,447,447,447,447,447,86,50,0,0,0,0,0,0,0,0,0
0,0,0,367,367,367,367,367,367,367,89,41,0,0,0,0,0,0,0,0,0
0,0,0,536,536,536,536,536,536,536,67,36,0,0,0,0,0,0,0,0,0
0,0,0,279,279,279,279,279,279,279,65,45,0,0,0,0,0,0,0,0,0
0,0,0,150,150,150,150,150,150,150,58,81,0,0,0,0,0,0,0,0,0
0,0,0,355,355,355,355,355,355,355,77,108,0,0,0,0,0,0,0,0,0
0,0,0,351,351,351,351,351,351,351,33,119,0,0,0,0,0,0,0,0,0
0,0,0,164,164,164,164,164,164,164,43,79,19,0,0,0,0,0,0,0,0
0,0,0,510,510,510,510,510,510,510,48,59,510,0,0,0,0,0,0,0,0
0,0,0,166,166,166,166,166,166,166,43,82,166,0,0,0,0,0,0,0,0
0,0,0,196,196,196,196,196,196,196,55,102,196,0,0,0,0,0,0,0,0
0,0,0,121,121,121,121,121,121,121,57,111,121,0,0,0,0,0,0,0,0
0,0,0,131,131,131,131,131,131,131,51,139,131,0,0,0,0,0,0,0,0
0,0,0,135,135,135,135,135,135,135,40,105,135,0,0,0,0,0,0,0,0
0,0,0,139,139,139,139,139,139,139,39,100,139,0,0,0,0,0,0,0,0
0,0,0,190,190,190,190,190,190,190,29,113,190,0,0,0,0,0,0,0,0
0,0,0,350,350,350,350,350,350,350,26,82,350,0,0,0,0,0,0,0,0
0,0,0,297,297,297,297,297,297,297,33,114,297,0,0,0,0,0,0,0,0
0,0,0,351,351,351,351,351,351,351,41,151,351,0,0,0,0,0,0,0,0
0,0,0,316,316,316,316,316,316,316,28,199,316,0,0,0,0,0,0,0,0
0,0,0,329,329,329,329,329,329,329,23,262,329,24,0,0,0,0,0,0,0
0,0,0,316,316,316,316,316,316,316,158,328,316,0,0,0,0,0,0,0,0
0,0,0,325,325,325,325,325,325,325,167,343,325,27,0,0,0,0,0,0,0
0,0,0,352,352,352,352,352,352,352,170,337,352,0,0,0,0,0,0,0,0
0,0,0,338,338,338,338,338,338,338,182,344,338,0,0,0,0,0,0,0,0
0,0,0,293,293,293,293,293,293,293,157,453,293,0,0,0,0,0,0,0,0
0,0,0,323,323,323,323,323,323,323,155,420,323,0,0,0,0,0,0,0,0
0,31,31,257,257,257,257,257,257,257,183,376,257,0,0,0,0,0,0,0,0
0,331,331,331,331,331,331,331,331,331,207,376,331,0,0,0,0,0,0,0,0
0,322,322,322,322,322,322,322,322,322,208,357,322,25,0,0,0,0,0,0,0
0,329,329,329,329,329,329,329,329,329,173,376,329,376,26,0,0,0,0,0,0
0,312,312,312,312,312,312,312,312,312,220,254,312,254,61,0,0,0,0,0,0
153,137,137,137,137,137,137,137,137,137,215,221,137,221,67,0,0,0,0,0,0
172,99,99,99,99,99,99,99,99,99,223,157,99,157,70,0,0,0,0,0,0
376,376,376,376,376,376,376,376,376,376,250,144,376,144,57,0,0,0,0,0,0
373,373,373,373,373,373,373,373,373,373,270,101,373,101,31,0,0,0,0,0,0
443,443,443,443,443,443,443,443,443,443,285,136,443,136,0,0,0,0,0,0,0
449,449,449,449,449,449,449,449,449,449,280,93,449,93,0,0,0,0,0,0,0
264,264,264,264,264,264,264,264,264,264,318,77,264,77,0,0,0,0,0,0,0
264,264,264,264,264,264,264,264,264,264,267,62,264,62,0,0,0,0,0,0,0
224,224,224,224,224,224,224,224,224,224,223,22,224,22,23,0,0,0,0,0,0
535,535,535,535,535,535,535,535,535,535,213,21,535,21,20,0,0,0,0,0,0
345,345,345,345,345,345,345,345,345,345,244,28,345,28,28,0,0,0,0,0,0
335,335,335,335,335,335,335,335,335,335,219,28,335,28,31,160,57,0,0,0,0
388,388,388,388,388,388,388,388,388,388,221,0,388,0,45,157,72,0,0,0,0
442,442,442,442,442,442,442,442,442,442,248,0,442,0,43,208,75,0,0,0,0
461,461,461,461,461,461,461,461,461,461,224,0,461,0,0,225,114,0,0,0,0
439,439,439,439,439,439,439,439,439,439,234,0,439,0,24,199,106,0,0,0,0
573,573,573,573,573,573,573,573,573,573,220,24,573,24,0,233,128,0,0,0,0
470,470,470,470,470,470,470,470,470,470,234,20,470,20,0,217,129,0,0,0,0
539,539,539,539,539,539,539,539,539,539,263,0,539,0,0,261,137,0,0,0,0
532,532,532,532,532,532,532,532,532,532,255,0,532,0,0,229,170,0,0,0,0
496,496,496,496,496,496,496,496,496,496,267,0,496,0,0,201,160,0,0,0,0
466,466,466,466,466,466,466,466,466,466,275,0,466,0,0,241,171,0,0,0,0
455,455,455,455,455,455,455,455,455,455,339,0,455,0,0,435,435,0,0,0,0
468,468,468,468,468,468,468,468,468,468,371,0,468,0,0,239,239,0,0,0,0
521,521,521,521,521,521,521,521,521,521,460,0,521,0,26,299,299,0,0,0,0
511,511,511,511,511,511,511,511,511,511,486,0,511,0,29,263,263,0,0,0,0
