72,0,0,0
108,0,0,0
127,0,0,0
197,0,0,0
200,0,0,0
164,0,0,0
179,0,0,0
180,0,0,0
152,0,0,0
139,0,0,0
115,0,0,0
122,0,0,0
99,24,0,0
150,0,0,0
114,0,0,0
97,0,0,0
83,0,0,0
109,0,0,0
128,0,0,0
117,24,0,0
46,25,0,0
29,27,0,0
22,27,0,0
42,42,0,0
42,42,0,0
41,41,0,0
61,61,0,0
42,42,0,0
26,26,0,0
39,39,0,0
22,22,0,0
0,0,0,0
23,23,0,0
37,37,0,0
31,31,0,0
51,51,0,0
51,51,0,0
42,42,0,0
48,48,0,0
76,76,0,0
81,81,0,0
103,103,0,0
137,137,0,0
133,133,0,0
96,96,0,0
127,127,0,0
159,159,0,0
175,175,0,0
200,200,0,0
246,246,0,0
293,293,0,0
295,295,0,0
245,245,0,0
159,159,0,0
146,146,0,0
131,131,0,0
132,132,0,0
187,187,0,0
220,220,0,0
182,182,0,0
185,185,0,0
174,174,0,0
230,230,0,0
263,263,0,0
209,209,0,0
238,238,0,0
230,230,0,0
176,176,0,0
189,189,0,0
257,257,0,0
208,208,0,0
193,193,0,0
147,147,0,0
166,166,0,0
137,137,0,0
131,131,0,0
80,80,0,0
104,104,0,0
105,105,0,0
142,142,0,0
157,157,0,0
140,140,0,0
170,170,0,0
169,169,0,0
162,162,0,0
187,187,0,0
166,166,0,0
180,180,0,0
168,168,0,0
193,193,0,0
188,188,0,0
142,142,0,0
197,197,0,0
243,243,0,0
177,177,0,0
180,180,0,0
211,211,0,0
208,208,0,0
267,267,0,0
244,244,0,0
264,264,0,0
239,239,0,0
187,187,0,0
175,175,0,0
190,190,0,0
174,174,0,0
179,179,0,0
125,125,0,0
100,100,0,0
94,94,0,0
97,97,0,0
117,117,0,0
188,188,0,0
173,173,0,0
138,138,0,0
141,141,0,0
148,148,0,0
140,140,0,0
185,185,0,0
208,208,0,0
257,257,0,0
278,278,0,0
217,217,0,0
213,213,0,0
187,187,0,0
266,266,0,0
210,210,0,0
248,248,0,0
213,213,0,0
209,209,0,0
184,184,0,0
174,174,0,0
160,160,0,0
114,114,0,0
121,121,0,0
126,126,0,0
129,129,0,0
105,105,24,0
118,118,39,0
90,90,28,0
72,72,41,0
61,61,41,0
89,89,74,0
83,83,79,0
63,63,69,0
72,72,61,0
83,83,61,0
113,113,61,0
97,97,61,0
83,83,71,0
77,77,59,0
66,66,34,0
64,64,29,0
82,82,51,0
81,81,41,0
82,82,29,0
90,90,0,0
57,57,0,0
74,74,0,0
63,63,0,0
55,55,0,0
34,34,0,0
30,30,0,0
27,27,0,0
37,37,0,0
34,34,0,0
51,51,0,28
30,30,0,0
61,61,0,0
41,41,42,0
42,42,37,0
27,27,36,0
24,24,55,0
24,24,35,0
