96,0,0
121,121,0
104,104,0
34,34,0
47,47,0
20,20,0
27,27,0
39,39,0
44,44,0
31,31,0
56,56,0
44,44,0
38,38,0
0,0,0
32,32,0
29,29,0
72,72,0
81,81,0
103,103,0
101,101,0
121,121,0
118,118,0
111,111,0
67,67,0
49,49,0
55,55,0
87,87,0
140,140,0
189,189,0
184,184,0
196,196,0
220,220,0
258,258,0
262,262,0
188,188,0
184,184,0
68,68,0
94,94,0
39,39,0
29,29,0
53,53,0
98,98,0
87,87,0
55,55,0
109,109,0
115,115,0
100,100,0
69,69,0
74,74,0
77,77,0
67,67,0
45,45,0
60,60,0
91,91,0
80,80,0
105,105,0
74,74,0
89,89,0
70,70,0
71,71,0
