0,23,25,0,0,0,0,0,0,0
34,37,37,0,0,0,0,0,0,0
20,50,30,0,0,0,0,0,0,0
20,70,27,0,0,0,0,0,0,0
31,43,23,0,0,0,0,0,0,0
0,77,20,0,0,0,0,0,0,0
0,131,26,0,0,0,0,0,0,0
72,191,41,0,0,0,0,0,0,0
87,166,33,0,0,0,0,0,0,0
49,176,36,0,0,0,0,0,0,0
57,198,41,0,0,0,0,0,0,0
86,192,41,0,0,0,0,0,0,0
39,154,26,0,0,0,0,0,0,0
50,111,31,0,0,0,0,0,0,0
28,112,0,0,0,0,0,0,0,0
25,152,26,32,0,0,0,0,0,0
0,139,23,0,0,0,0,0,0,0
23,95,41,0,0,0,0,0,0,0
39,61,52,0,0,0,0,0,0,0
30,46,52,20,0,0,0,0,0,0
41,38,83,0,0,0,0,0,0,0
87,62,74,27,0,0,0,0,0,0
57,113,85,35,0,0,0,0,0,0
51,107,57,33,0,0,0,0,0,0
91,138,66,24,0,0,0,0,0,0
80,225,70,32,0,0,0,0,0,0
78,235,76,30,0,0,0,0,0,0
41,255,77,60,0,0,0,0,0,0
69,163,60,108,30,0,0,0,0,0
40,142,53,122,36,0,0,0,0,0
55,124,41,76,54,21,0,0,0,0
32,120,49,60,39,23,0,0,0,0
45,82,42,75,40,24,0,0,0,0
21,55,57,58,34,31,0,0,0,0
24,67,83,37,37,26,0,0,0,0
23,48,95,172,27,0,0,0,0,0
0,42,90,142,26,0,0,0,0,0
0,56,96,144,0,0,0,0,0,0
0,68,56,160,30,0,0,0,0,0
0,59,58,193,30,22,0,0,0,0
0,65,68,202,39,0,0,0,0,0
0,48,52,178,45,35,0,0,0,0
0,89,33,195,60,46,0,0,0,0
0,82,47,174,50,81,0,0,0,0
0,93,51,198,36,94,0,0,0,0
0,67,47,244,64,69,0,0,0,0
23,55,97,250,50,44,0,0,0,0
28,35,68,197,54,44,0,0,0,0
30,25,38,161,47,23,24,0,0,0
33,29,50,130,39,29,27,0,0,0
33,33,89,160,37,23,0,0,0,0
25,39,56,166,24,24,0,0,0,0
51,40,103,202,31,31,0,0,0,0
54,38,64,288,33,33,0,0,0,0
59,69,80,291,38,38,24,0,0,0
50,48,65,359,69,69,31,0,0,0
36,47,104,495,57,57,42,0,0,0
25,41,90,442,48,48,52,0,0,0
20,38,113,548,38,38,46,0,0,0
434,27,101,558,57,57,38,0,0,0
313,20,86,712,60,60,26,0,0,0
262,38,85,835,37,37,36,0,0,0
296,296,76,955,53,53,0,0,0,0
237,237,88,898,23,23,0,0,0,0
255,255,93,794,69,69,0,0,0,0
240,240,56,637,59,59,0,0,0,0
275,275,79,529,74,74,0,0,0,0
171,171,134,509,47,47,0,0,0,0
102,102,124,671,70,70,0,0,0,0
75,75,136,751,68,68,0,0,0,0
63,63,135,859,68,68,0,0,0,0
233,233,106,849,77,77,0,0,0,0
151,151,73,918,70,70,0,0,0,0
212,212,96,1059,72,72,0,0,0,0
258,258,118,1094,57,57,0,0,0,0
185,185,97,1238,65,65,0,0,0,0
168,168,94,1025,50,50,0,0,0,0
154,154,76,1086,34,34,0,0,0,0
183,183,48,1109,47,47,0,0,0,0
258,258,39,1015,65,65,0,0,0,0
232,232,49,913,48,48,0,0,0,0
252,252,40,973,108,108,0,0,0,0
