566,57,57,566,566,45,0,0
544,40,40,544,544,27,0,0
446,29,29,446,446,31,0,0
425,44,44,425,425,28,0,0
460,46,46,460,460,460,0,0
364,55,55,364,364,364,0,0
331,68,68,331,331,331,0,0
348,39,39,348,348,348,0,0
431,57,57,431,431,431,0,0
301,50,50,301,301,301,0,0
264,36,36,264,264,264,0,0
206,71,71,206,206,206,0,0
127,48,48,127,127,127,0,0
148,55,55,148,148,148,0,0
113,93,93,113,113,113,0,0
125,88,88,125,125,125,0,0
106,87,87,106,106,106,0,0
196,65,65,196,196,196,0,0
244,59,59,244,244,244,0,0
326,72,72,326,326,326,0,0
406,23,23,406,406,406,0,0
487,27,27,487,487,487,0,0
342,0,0,342,342,342,0,0
396,21,21,396,396,396,0,0
359,0,0,359,359,359,0,0
251,0,0,251,251,251,0,0
261,0,0,261,261,261,0,0
202,0,0,202,202,202,0,0
254,21,21,254,254,254,26,0
304,0,0,304,304,304,0,0
252,41,41,252,252,252,27,0
282,64,64,282,282,282,0,0
201,72,72,201,201,201,0,0
275,66,66,275,275,275,20,0
374,44,44,374,374,374,21,0
324,43,43,324,324,324,0,0
318,37,37,318,318,318,44,0
337,28,28,337,337,337,0,0
256,35,35,256,256,256,0,0
272,24,24,272,272,272,34,0
285,0,0,285,285,285,21,0
280,21,21,280,280,280,23,0
272,21,21,272,272,272,30,0
366,0,0,366,366,366,0,0
322,34,34,322,322,322,0,0
275,0,0,275,275,275,0,0
158,23,23,158,158,158,0,0
245,35,35,245,245,245,0,0
314,24,24,314,314,314,23,0
448,0,0,448,448,448,0,0
527,28,28,527,527,527,0,0
546,24,24,546,546,546,0,0
565,21,21,565,565,565,0,0
743,0,0,743,743,743,0,0
773,0,0,773,773,773,0,0
778,0,0,778,778,778,0,0
783,30,30,783,783,783,0,0
726,0,0,726,726,726,23,0
786,0,0,786,786,786,0,0
733,0,0,733,733,733,0,0
599,0,0,599,599,599,0,0
468,0,0,468,468,468,0,0
466,0,0,466,466,466,21,0
423,0,0,423,423,423,0,0
386,0,0,386,386,386,20,0
413,0,0,413,413,413,0,0
282,0,0,282,282,282,0,0
189,0,0,189,189,189,0,0
182,0,0,182,182,182,0,0
135,0,0,135,135,135,0,0
139,0,0,139,139,139,0,0
77,0,0,77,77,77,0,0
