0,1,2,3,4,5,6,7,8,9,10
160,160,0,0,0,0,0,0,0,0,0
125,125,31,0,0,0,0,0,0,0,0
98,98,38,0,0,0,0,0,0,0,0
124,124,20,0,0,0,0,0,0,0,0
275,275,23,0,0,0,0,0,0,0,0
294,294,0,0,0,0,0,0,0,0,0
325,325,35,0,0,0,0,0,0,0,0
434,434,21,0,0,0,0,0,0,0,0
498,498,0,0,0,0,0,0,0,0,0
529,529,28,0,0,0,0,0,0,0,0
571,571,41,0,0,0,0,0,0,0,0
611,611,24,0,0,0,0,0,0,0,0
546,546,33,0,0,0,0,0,0,0,0
534,534,28,0,0,0,0,0,0,0,0
558,558,39,0,0,0,0,0,0,0,0
604,604,52,0,0,0,0,0,0,0,0
387,387,58,0,0,0,0,0,0,0,0
337,337,34,0,0,0,0,0,0,0,0
315,315,26,0,0,0,0,0,0,0,0
220,220,34,0,0,0,0,0,0,0,0
248,248,37,0,0,0,0,0,0,0,0
293,293,33,0,0,0,0,0,0,0,0
194,194,33,0,0,0,0,0,0,0,0
220,220,33,0,0,0,0,0,0,0,0
281,281,25,0,0,0,0,0,0,0,0
112,112,58,0,0,0,0,0,0,0,0
154,154,28,0,0,0,0,0,0,0,0
130,130,31,0,0,0,0,0,0,0,0
122,122,29,0,0,0,0,0,0,0,0
106,106,0,0,0,0,0,0,0,0,0
27,27,26,0,0,0,0,0,0,0,0
52,52,24,0,0,0,0,0,0,0,0
62,62,38,0,0,0,0,0,0,0,0
87,87,34,0,0,0,0,0,0,0,0
150,150,35,0,0,0,0,0,0,0,0
196,196,40,0,0,0,0,0,0,0,0
256,256,256,0,0,0,0,0,0,0,0
313,313,313,0,0,0,0,0,0,0,0
314,314,314,0,0,0,0,0,0,0,0
255,255,255,24,0,0,0,0,0,0,0
319,319,319,20,0,0,0,0,0,0,0
351,351,351,0,0,0,0,0,0,0,0
328,328,328,0,0,0,0,0,0,0,0
334,334,334,0,0,0,0,0,0,0,0
326,326,326,0,0,0,0,0,0,0,0
268,268,268,0,0,0,0,0,0,0,0
269,269,269,0,0,0,0,0,0,0,0
197,197,197,25,0,0,0,0,0,0,0
275,275,275,275,0,0,0,0,0,0,0
285,285,285,285,0,0,0,0,0,0,0
239,239,239,239,0,0,0,0,0,0,0
198,198,198,198,0,0,0,0,0,0,0
188,188,188,188,0,0,0,0,0,0,0
149,149,149,149,0,0,0,0,0,0,0
227,227,227,227,0,0,0,0,0,0,0
206,206,206,206,0,0,0,0,0,0,0
206,206,206,206,0,0,0,0,0,0,0
139,139,139,139,0,0,0,0,0,0,0
137,137,137,137,0,0,0,0,0,0,0
182,182,182,182,0,0,0,0,0,0,0
179,179,179,179,0,0,0,0,0,0,0
115,115,115,115,0,0,0,0,0,0,0
132,132,132,132,0,0,0,0,0,0,0
111,111,111,111,0,0,0,0,0,0,0
49,49,49,49,0,0,0,0,0,0,0
38,38,38,38,0,0,0,0,0,0,0
67,67,67,67,0,0,0,0,0,0,0
81,81,81,81,0,0,0,0,0,0,0
65,65,65,65,0,0,0,0,0,0,0
85,85,85,85,0,0,0,0,0,0,0
75,75,75,75,0,0,0,0,0,0,0
105,105,105,105,0,0,0,0,0,0,0
64,64,64,64,0,0,0,0,0,0,0
42,42,42,42,0,0,0,0,0,0,0
31,31,31,31,0,0,0,0,0,0,0
37,37,37,37,0,0,0,0,0,0,0
32,32,32,32,0,0,0,0,0,0,0
115,115,115,115,0,0,0,0,0,0,0
109,109,109,109,0,0,0,0,0,0,0
144,144,144,144,0,0,0,0,0,0,0
149,149,149,149,0,0,0,0,0,0,0
235,235,235,235,0,0,0,0,0,0,0
183,183,183,183,0,0,0,0,0,0,0
196,196,196,196,0,0,0,0,0,0,0
151,151,151,151,0,0,0,0,0,0,0
110,110,110,110,0,0,0,0,0,0,0
93,93,93,93,0,0,0,0,0,0,0
62,62,62,62,0,0,0,0,0,0,0
34,34,34,34,0,0,0,0,0,0,0
53,53,53,53,0,0,0,0,0,0,0
44,44,44,44,0,0,0,0,0,0,0
54,54,54,54,0,0,0,0,0,0,0
58,58,58,58,23,0,0,0,0,0,0
42,42,42,42,0,23,0,0,0,0,0
73,73,73,73,0,22,0,0,0,0,0
65,65,65,65,0,21,0,0,0,0,0
78,78,78,78,0,36,0,0,0,0,0
46,46,46,46,0,46,0,0,0,0,0
47,47,47,47,0,47,0,0,0,0,0
0,0,0,0,27,0,24,0,0,0,0
27,27,27,27,0,27,27,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
22,22,22,22,0,22,22,0,0,0,0
21,21,21,21,0,21,21,0,0,0,0
21,21,21,21,28,21,21,0,0,0,0
46,46,46,46,31,46,46,0,0,0,0
40,40,40,40,29,40,40,0,0,0,0
31,31,31,31,30,31,31,0,0,0,0
42,42,42,42,51,42,42,0,0,0,0
40,40,40,40,51,40,40,0,0,0,0
30,30,30,30,52,30,30,0,0,0,0
58,58,58,58,65,58,58,0,0,0,0
51,51,51,51,71,51,51,0,0,0,0
46,46,46,46,65,46,46,0,0,0,0
34,34,34,34,57,34,34,0,0,0,0
33,33,33,33,86,33,33,0,0,0,0
30,30,30,30,34,30,30,0,0,0,0
67,67,67,67,34,67,67,0,0,0,0
77,77,77,77,30,77,77,0,0,0,0
46,46,46,46,0,46,46,0,0,0,0
39,39,39,39,0,39,39,0,0,0,0
21,21,21,21,0,21,21,0,0,0,0
39,39,39,39,0,39,39,0,0,0,0
30,30,30,30,0,30,30,0,0,0,0
41,41,41,41,0,41,41,0,0,0,0
34,34,34,34,0,34,34,0,0,0,0
57,57,57,57,0,57,57,0,0,0,0
40,40,40,40,0,40,40,0,0,0,0
35,35,35,35,22,35,35,0,0,0,0
27,27,27,27,0,27,27,0,0,0,0
55,55,55,55,0,55,55,0,0,0,0
21,21,21,21,0,21,21,0,0,0,0
73,73,73,73,0,73,73,0,0,0,0
66,66,66,66,0,66,66,0,0,0,0
52,52,52,52,0,52,52,0,0,0,0
57,57,57,57,0,57,57,0,0,0,0
60,60,60,60,0,60,60,0,0,0,0
67,67,67,67,0,67,67,0,0,0,0
57,57,57,57,0,57,57,0,0,0,0
78,78,78,78,25,78,78,0,0,0,0
100,100,100,100,20,100,100,0,0,0,0
52,52,52,52,0,52,52,0,0,0,0
77,77,77,77,0,77,77,0,0,0,0
45,45,45,45,0,45,45,0,0,0,0
51,51,51,51,0,51,51,0,0,0,0
51,51,51,51,0,51,51,0,0,0,0
30,30,30,30,0,30,30,0,0,0,0
40,40,40,40,0,40,40,0,0,0,0
25,25,25,25,0,25,25,0,0,0,0
100,100,100,100,0,100,100,0,0,0,0
109,109,109,109,0,109,109,34,0,0,0
95,95,95,95,0,95,95,0,0,0,0
126,126,126,126,0,126,126,26,0,0,0
136,136,136,136,0,136,136,0,0,0,0
116,116,116,116,0,116,116,0,0,0,0
101,101,101,101,0,101,101,20,0,0,0
109,109,109,109,0,109,109,23,0,0,0
120,120,120,120,0,120,120,0,0,0,0
133,133,133,133,0,133,133,21,0,0,0
140,140,140,140,0,140,140,54,0,0,0
132,132,132,132,0,132,132,195,0,0,0
92,92,92,92,0,92,92,230,0,0,0
63,63,63,63,0,63,63,308,0,0,0
116,116,116,116,0,116,116,300,0,0,0
106,106,106,106,0,106,106,323,0,0,0
127,127,127,127,0,127,127,345,0,0,0
131,131,131,131,0,131,131,457,0,0,0
100,100,100,100,0,100,100,526,0,0,0
83,83,83,83,0,83,83,559,0,0,0
90,90,90,90,0,90,90,566,0,0,0
73,73,73,73,0,73,73,572,0,0,0
61,61,61,61,0,61,61,547,0,0,0
97,97,97,97,0,97,97,479,0,0,0
56,56,56,56,0,56,56,630,0,0,0
51,51,51,51,0,51,51,670,0,0,0
48,48,48,48,0,48,48,649,0,0,0
51,51,51,51,0,51,51,607,0,0,0
49,49,49,49,0,49,49,659,0,0,0
48,48,48,48,0,48,48,681,0,0,0
50,50,50,50,0,50,50,895,0,0,0
21,21,21,21,0,21,21,911,0,0,0
47,47,47,47,0,47,47,806,0,0,0
41,41,41,41,0,41,41,723,0,0,0
33,33,33,33,0,33,33,850,0,0,0
33,33,33,33,0,33,33,847,0,0,0
31,31,31,31,0,31,31,873,0,0,0
0,0,0,0,0,0,0,863,0,0,0
20,20,20,20,0,20,20,743,0,0,0
0,0,0,0,0,0,0,788,0,0,0
0,0,0,0,0,0,0,816,0,0,0
0,0,0,0,0,0,0,755,0,0,0
0,0,0,0,0,0,0,648,0,0,0
0,0,0,0,0,0,0,520,0,0,0
22,22,22,22,0,22,22,475,0,0,0
0,0,0,0,0,0,0,577,0,0,0
0,0,0,0,0,0,0,508,0,0,0
0,0,0,0,0,0,0,554,0,0,0
0,0,0,0,0,0,0,517,0,0,0
0,0,0,0,0,0,0,516,0,0,0
0,0,0,0,0,0,0,429,0,0,0
21,21,21,21,0,21,21,347,0,0,0
0,0,0,0,0,0,0,371,0,0,0
0,0,0,0,0,0,0,436,0,0,0
0,0,0,0,0,0,0,384,0,0,0
26,26,26,26,0,26,26,409,0,0,0
0,0,0,0,0,0,0,328,0,0,0
0,0,0,0,0,0,0,310,0,0,0
0,0,0,0,0,0,0,333,0,0,0
26,26,26,26,0,26,26,277,0,0,0
22,22,22,22,0,22,22,252,0,0,0
26,26,26,26,0,26,26,192,0,0,0
53,53,53,53,0,53,53,141,0,0,0
63,63,63,63,0,63,63,102,0,0,0
62,62,62,62,0,62,62,90,0,0,0
59,59,59,59,0,59,59,137,0,0,0
64,64,64,64,0,64,64,141,0,0,0
64,64,64,64,0,64,64,99,0,0,0
71,71,71,71,0,71,71,69,0,0,0
28,28,28,28,0,28,28,24,0,0,0
20,20,20,20,0,20,20,0,0,0,0
32,32,32,32,0,32,32,25,0,0,0
22,22,22,22,0,22,22,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21,0,0
0,0,0,0,0,0,0,0,21,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
