251,251,0,459,251,0,0,251
252,252,0,415,252,0,0,252
259,259,0,486,259,0,0,259
205,205,0,392,205,0,0,205
234,234,0,442,234,0,0,234
239,239,0,504,239,0,0,239
216,216,0,465,216,0,0,216
240,240,0,565,240,0,0,240
211,211,0,658,211,0,0,211
227,227,0,717,227,0,0,227
231,231,0,652,231,0,0,231
239,239,0,602,239,0,0,239
202,202,0,499,202,0,0,202
200,200,0,367,200,0,0,200
224,224,0,377,224,0,0,224
250,250,0,451,250,0,0,250
262,262,0,454,262,0,0,262
232,232,0,493,232,0,0,232
256,256,0,471,256,0,37,256
192,192,0,510,192,0,47,192
203,203,0,389,203,0,55,203
264,264,0,268,264,0,74,264
301,301,0,239,301,0,81,301
388,388,0,247,388,0,96,388
355,355,0,239,355,0,75,355
452,452,0,174,452,0,63,452
503,503,0,130,503,0,62,503
596,596,0,122,596,0,64,596
603,603,0,130,603,0,101,603
570,570,0,128,570,0,108,570
520,520,0,101,520,0,137,520
535,535,0,59,535,0,127,535
477,477,0,44,477,0,153,477
420,420,0,24,420,0,150,420
406,406,0,29,406,0,136,406
356,356,0,35,356,0,140,356
312,312,0,33,312,0,141,312
332,332,0,33,332,0,116,332
311,311,0,28,311,0,150,311
328,328,0,22,328,0,143,328
373,373,0,49,373,0,247,373
324,324,0,99,324,0,229,324
266,266,0,159,266,0,207,266
256,256,0,213,256,0,138,256
251,251,0,220,251,0,129,251
226,226,0,199,226,0,94,226
279,279,0,217,279,0,101,279
306,306,0,223,306,0,95,306
324,324,0,184,324,0,151,324
309,309,0,112,309,0,240,309
304,304,0,70,304,0,300,304
264,264,0,78,264,0,326,264
218,218,0,32,218,0,270,218
195,195,0,21,195,0,251,195
180,180,0,26,180,0,283,180
195,195,0,117,195,0,243,195
187,187,0,77,187,0,207,187
275,275,0,98,275,0,149,275
344,344,0,67,344,0,93,344
423,423,0,34,423,0,89,423
577,577,0,29,577,0,65,577
473,473,0,33,473,0,37,473
457,457,0,30,457,0,26,457
468,468,0,38,468,0,32,468
489,489,0,33,489,0,22,489
436,436,0,40,436,0,55,436
436,436,0,38,436,0,83,436
320,320,0,73,320,0,111,320
348,348,0,53,348,0,236,348
289,289,0,41,289,0,324,289
194,194,0,46,194,0,270,194
277,277,0,45,277,0,284,277
280,280,0,64,280,0,314,280
281,281,0,36,281,0,223,281
300,300,0,52,300,0,289,300
272,272,0,61,272,0,206,272
275,275,0,108,275,0,270,275
281,281,0,86,281,0,278,281
245,245,0,79,245,0,126,245
246,246,0,104,246,0,259,246
202,202,0,107,202,0,263,202
200,200,0,119,200,0,236,200
260,260,0,91,260,0,129,260
332,332,0,81,332,0,153,332
278,278,0,69,278,0,222,278
251,251,0,54,251,0,104,251
261,261,0,42,261,0,57,261
290,290,0,22,290,0,51,290
293,293,0,20,293,0,223,293
