IC,CG,Total,IC_amp,CG_amp,Total_amp,IC_abs_amp,CG_abs_amp,Total_abs_amp
29.0,11.0,40.0,-36.94,-89.453,-126.393,183.83,119.877,303.707
26.0,11.0,37.0,-43.918,-135.965,-179.883,197.586,135.965,333.551
20.0,7.0,27.0,-72.607,-118.478,-191.085,202.927,118.478,321.405
28.0,4.0,32.0,9.693,-52.678,-42.985,131.645,52.678,184.323
30.0,16.0,46.0,-43.054,-105.316,-148.37,197.362,199.36,396.722
32.0,8.0,40.0,-26.7,-52.544,-79.244,198.848,138.436,337.284
27.0,1.0,28.0,7.911,-4.626,3.285,162.265,4.626,166.891
25.0,1.0,26.0,33.127,-7.333,25.794,146.697,7.333,154.03
21.0,0.0,21.0,56.58,0.0,56.58,129.148,0.0,129.148
32.0,15.0,47.0,-49.458,-123.7,-173.158,275.556,314.8,590.356
19.0,9.0,28.0,-23.358,-181.657,-205.015,121.264,214.497,335.761
31.0,13.0,44.0,-89.749,-31.223,-120.972,210.687,192.545,403.232
29.0,6.0,35.0,56.242,-115.235,-58.993,161.176,173.619,334.795
14.0,7.0,21.0,-73.613,46.235,-27.378,152.899,221.347,374.246
24.0,14.0,38.0,-52.781,-255.601,-308.382,159.405,255.601,415.006
29.0,9.0,38.0,-6.976,45.294,38.318,210.258,297.338,507.596
15.0,3.0,18.0,-24.767,-45.016,-69.783,78.499,45.016,123.515
39.0,4.0,43.0,56.782,-38.846,17.936,203.234,38.846,242.08
27.0,1.0,28.0,22.857,-8.438,14.419,142.101,8.438,150.539
40.0,8.0,48.0,-101.95,-122.888,-224.838,242.684,122.888,365.572
14.0,2.0,16.0,10.94,-16.568,-5.628,91.794,16.568,108.362
37.0,5.0,42.0,-42.82,-5.727,-48.547,218.614,76.913,295.527
28.0,2.0,30.0,-9.664,-16.362,-26.026,161.7,16.362,178.062
33.0,2.0,35.0,58.562,-11.969,46.593,166.408,11.969,178.377
22.0,5.0,27.0,20.227,31.168,51.395,117.103,119.798,236.901
28.0,13.0,41.0,-9.297,-249.941,-259.238,155.805,339.977,495.782
29.0,9.0,38.0,-5.732,-204.04,-209.772,188.522,204.04,392.562
42.0,14.0,56.0,-8.494,-112.829,-121.323,296.622,405.393,702.015
32.0,8.0,40.0,-80.301,-69.053,-149.354,286.617,129.643,416.26
13.0,9.0,22.0,-7.559,-23.865,-31.424,111.301,208.471,319.772
30.0,10.0,40.0,9.624,-142.952,-133.328,165.758,142.952,308.71
33.0,6.0,39.0,-32.23,-94.367,-126.597,257.566,94.367,351.933
19.0,13.0,32.0,-3.336,-294.728,-298.064,139.49,294.728,434.218
23.0,3.0,26.0,30.368,-52.799,-22.431,96.938,52.799,149.737
37.0,3.0,40.0,-33.287,-25.021,-58.308,193.685,60.511,254.196
25.0,5.0,30.0,20.616,-34.249,-13.633,124.554,67.513,192.067
55.0,12.0,67.0,40.324,-124.933,-84.609,228.786,164.533,393.319
60.0,16.0,76.0,47.306,-113.967,-66.661,272.4,146.485,418.885
45.0,1.0,46.0,42.271,-5.411,36.86,240.363,5.411,245.774
41.0,4.0,45.0,100.048,-54.958,45.09,187.012,54.958,241.97
53.0,17.0,70.0,59.458,-162.896,-103.438,230.81,218.388,449.198
57.0,14.0,71.0,52.761,-122.197,-69.436,266.605,176.703,443.308
59.0,9.0,68.0,45.627,-114.838,-69.211,328.905,167.378,496.283
65.0,6.0,71.0,103.182,-135.289,-32.107,323.102,135.289,458.391
73.0,1.0,74.0,36.586,-4.651,31.935,354.966,4.651,359.617
55.0,7.0,62.0,41.044,-81.425,-40.381,274.728,143.319,418.047
61.0,24.0,85.0,12.445,-388.328,-375.883,270.661,428.99,699.651
67.0,12.0,79.0,73.502,-217.819,-144.317,298.766,217.819,516.585
80.0,17.0,97.0,50.16,-156.535,-106.375,394.988,193.363,588.351
59.0,13.0,72.0,62.773,-135.923,-73.15,277.691,206.937,484.628
40.0,6.0,46.0,-18.939,-4.549,-23.488,276.109,155.527,431.636
57.0,6.0,63.0,127.315,-21.355,105.96,278.103,57.947,336.05
43.0,5.0,48.0,54.986,-66.774,-11.788,217.526,66.774,284.3
31.0,6.0,37.0,29.345,3.858,33.203,212.001,118.762,330.763
21.0,2.0,23.0,-9.669,12.69,3.021,130.779,24.11,154.889
47.0,11.0,58.0,30.92,-189.785,-158.865,254.058,189.785,443.843
41.0,10.0,51.0,-52.492,-130.723,-183.215,223.428,199.497,422.925
34.0,6.0,40.0,-1.86,-2.084,-3.944,162.66,76.714,239.374
49.0,16.0,65.0,45.131,-272.13,-226.999,271.559,309.152,580.711
44.0,8.0,52.0,-14.061,-102.916,-116.977,236.091,102.916,339.007
47.0,8.0,55.0,112.185,-118.177,-5.992,340.487,149.529,490.016
57.0,14.0,71.0,95.225,-261.237,-166.012,226.051,261.237,487.288
63.0,15.0,78.0,94.081,-194.046,-99.965,282.427,194.046,476.473
48.0,18.0,66.0,-11.247,-218.832,-230.079,141.103,265.208,406.311
83.0,23.0,106.0,47.863,-289.39,-241.527,362.633,320.224,682.857
56.0,8.0,64.0,5.652,-92.228,-86.576,132.418,92.228,224.646
71.0,9.0,80.0,54.657,-98.825,-44.168,237.709,98.825,336.534
70.0,11.0,81.0,-12.39,-118.457,-130.847,227.562,118.457,346.019
48.0,12.0,60.0,-24.808,-131.866,-156.674,130.69,131.866,262.556
81.0,11.0,92.0,20.053,-94.39,-74.337,238.717,126.478,365.195
50.0,3.0,53.0,83.435,-21.658,61.777,187.175,21.658,208.833
81.0,11.0,92.0,156.2,-273.42,-117.22,345.474,338.906,684.38
52.0,7.0,59.0,-27.834,-79.867,-107.701,211.012,79.867,290.879
58.0,10.0,68.0,-56.142,-84.309,-140.451,262.804,224.577,487.381
37.0,4.0,41.0,57.476,-19.485,37.991,92.402,54.125,146.527
45.0,2.0,47.0,10.587,-46.268,-35.681,142.017,46.268,188.285
59.0,2.0,61.0,67.953,-47.173,20.78,206.071,47.173,253.244
42.0,3.0,45.0,-1.3,-52.033,-53.333,144.886,52.033,196.919
49.0,8.0,57.0,61.627,-108.421,-46.794,208.125,108.421,316.546
51.0,5.0,56.0,24.315,-105.089,-80.774,165.877,105.089,270.966
57.0,1.0,58.0,96.788,-24.099,72.689,234.44,24.099,258.539
51.0,7.0,58.0,94.373,-5.753,88.62,187.745,188.663,376.408
45.0,6.0,51.0,39.695,-54.827,-15.132,163.935,85.651,249.586
51.0,1.0,52.0,146.736,-13.933,132.803,161.278,13.933,175.211
67.0,9.0,76.0,15.908,-59.923,-44.015,253.702,105.143,358.845
83.0,3.0,86.0,40.865,-25.339,15.526,245.437,25.339,270.776
55.0,3.0,58.0,49.711,-23.323,26.388,202.827,23.323,226.15
41.0,2.0,43.0,52.264,-12.903,39.361,138.104,12.903,151.007
60.0,7.0,67.0,45.219,-54.799,-9.58,260.529,54.799,315.328
47.0,4.0,51.0,54.536,-33.578,20.958,144.46,33.578,178.038
62.0,7.0,69.0,70.513,-87.057,-16.544,277.249,87.057,364.306
42.0,5.0,47.0,84.286,-43.705,40.581,165.172,43.705,208.877
61.0,5.0,66.0,15.533,-45.742,-30.209,221.213,45.742,266.955
56.0,4.0,60.0,88.432,-25.229,63.203,175.63,25.229,200.859
55.0,6.0,61.0,-16.594,-15.012,-31.606,233.214,49.298,282.512
33.0,1.0,34.0,60.662,19.224,79.886,150.286,19.224,169.51
23.0,2.0,25.0,50.401,-42.575,7.826,89.727,42.575,132.302
16.0,1.0,17.0,-9.252,-6.321,-15.573,68.266,6.321,74.587
22.0,1.0,23.0,40.239,-10.4,29.839,84.149,10.4,94.549
44.0,4.0,48.0,-72.402,-43.364,-115.766,240.646,43.364,284.01
37.0,4.0,41.0,84.707,-37.241,47.466,135.427,37.241,172.668
26.0,2.0,28.0,45.199,-12.271,32.928,101.083,12.271,113.354
30.0,1.0,31.0,64.684,-6.857,57.827,105.55,6.857,112.407
23.0,0.0,23.0,9.387,0.0,9.387,64.227,0.0,64.227
20.0,1.0,21.0,21.527,-5.087,16.44,65.267,5.087,70.354
39.0,3.0,42.0,60.452,-15.007,45.445,114.788,15.007,129.795
