0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
183,183,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,240,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,315,32,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,246,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,231,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,329,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,215,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,311,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,284,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,339,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,302,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,297,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,250,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,207,207,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,180,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,252,252,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,245,245,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,216,216,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,234,234,55,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,245,245,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,237,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,230,230,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,251,251,37,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,177,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,185,34,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,174,38,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,127,30,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,24,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
