0,0,0,27,0,0,0,0,0,0
25,25,0,45,0,0,0,0,0,0
75,75,0,75,0,0,0,0,0,0
81,81,0,81,38,0,0,0,0,0
94,94,0,94,29,0,0,0,0,0
92,92,0,92,0,0,0,0,0,0
91,91,0,91,39,0,0,0,0,0
96,96,0,96,46,0,0,0,0,0
69,69,0,69,34,0,0,0,0,0
20,20,0,20,25,0,0,0,0,0
35,35,0,35,33,0,0,0,0,0
68,68,0,68,39,0,0,0,0,0
35,35,0,35,49,0,0,0,0,0
37,37,0,37,32,0,0,0,0,0
36,36,0,36,42,0,0,0,0,0
50,50,0,50,44,0,0,0,0,0
61,61,0,61,38,0,0,0,0,0
47,47,0,47,47,0,0,0,0,0
123,123,0,123,123,0,0,0,0,0
82,82,0,82,82,0,0,0,0,0
76,76,0,76,76,0,0,0,0,0
91,91,0,91,91,32,0,0,0,0
137,137,0,137,137,57,0,0,0,0
121,121,0,121,121,0,0,0,0,0
281,281,0,281,281,45,0,0,0,0
190,190,0,190,190,28,0,0,0,0
258,258,0,258,258,22,0,0,0,0
327,327,0,327,327,0,0,0,0,0
308,308,0,308,308,39,0,0,0,0
328,328,0,328,328,32,0,0,0,0
272,272,0,272,272,23,0,0,0,0
232,232,0,232,232,25,0,0,0,0
168,168,0,168,168,36,0,0,0,0
194,194,0,194,194,35,0,0,0,0
185,185,0,185,185,142,0,0,0,0
124,124,0,124,124,94,0,0,0,0
157,157,0,157,157,122,0,0,0,0
144,144,0,144,144,122,0,0,0,0
138,138,0,138,138,114,0,0,0,0
144,144,0,144,144,123,0,0,0,0
136,136,0,136,136,83,0,0,0,0
125,125,0,125,125,144,0,0,0,0
114,114,0,114,114,24,20,0,0,0
86,86,0,86,86,74,0,0,0,0
102,102,0,102,102,85,0,0,0,0
63,63,0,63,63,30,0,0,0,0
60,60,0,60,60,91,0,0,0,0
