0,1,2,3,4,5,6,7,8,9
657,25,76,0,0,0,0,0,0,0
946,0,45,0,0,0,0,0,0,0
1040,0,30,0,0,0,0,0,0,0
1042,0,33,0,0,0,0,0,0,0
1126,22,26,0,0,0,0,0,0,0
1122,27,0,0,0,0,0,0,0,0
956,31,0,0,0,0,0,0,0,0
1078,26,21,0,0,0,0,0,0,0
963,0,62,0,0,0,0,0,0,0
817,22,90,0,0,0,0,0,0,0
716,48,81,0,0,0,0,0,0,0
495,43,171,0,0,0,0,0,0,0
499,0,143,0,0,0,0,0,0,0
366,0,147,0,0,0,0,0,0,0
365,0,110,0,0,0,0,0,0,0
305,0,120,22,0,0,0,0,0,0
253,0,171,24,0,0,0,0,0,0
301,0,166,0,0,0,0,0,0,0
224,0,138,0,0,0,0,0,0,0
216,0,168,0,0,0,0,0,0,0
141,0,180,0,0,0,0,0,0,0
119,0,218,0,0,0,0,0,0,0
84,0,235,0,0,0,0,0,0,0
54,0,213,48,0,0,0,0,0,0
25,0,243,52,0,0,0,0,0,0
27,0,297,70,0,0,0,0,0,0
23,0,270,133,0,0,0,0,0,0
36,0,283,178,0,0,0,0,0,0
24,0,260,194,0,0,0,0,0,0
532,0,291,177,0,0,0,0,0,0
649,0,299,135,0,0,0,0,0,0
679,0,292,141,0,0,0,0,0,0
726,0,255,166,0,0,0,0,0,0
553,0,233,173,0,0,0,0,0,0
482,0,231,205,0,0,0,0,0,0
534,0,170,208,0,0,0,0,0,0
473,0,125,254,0,0,0,0,0,0
453,0,84,262,0,0,0,0,0,0
325,0,93,238,0,0,0,0,0,0
396,0,149,279,0,0,0,0,0,0
270,0,127,338,0,0,0,0,0,0
154,0,117,289,0,0,0,0,0,0
111,0,119,337,0,0,0,0,0,0
181,0,83,340,0,0,0,0,0,0
247,0,33,377,0,0,0,0,0,0
232,0,31,349,0,0,0,0,0,0
183,0,35,449,0,0,0,0,0,0
147,0,147,502,0,0,0,0,0,0
169,0,169,596,0,0,0,0,0,0
189,0,189,614,0,0,0,0,0,0
153,0,153,669,0,0,0,0,0,0
145,0,145,670,0,0,0,0,0,0
170,0,170,672,0,0,0,0,0,0
106,0,106,663,0,0,0,0,0,0
60,0,60,528,0,0,0,0,0,0
42,0,42,618,0,0,0,0,0,0
32,0,32,787,0,0,0,0,0,0
32,0,32,813,0,0,0,0,0,0
46,0,46,845,0,0,0,0,0,0
0,0,0,915,0,0,0,0,0,0
0,0,0,1059,0,0,0,0,0,0
0,0,0,1121,0,0,0,0,0,0
20,0,20,1072,0,0,0,0,0,0
29,0,29,1213,0,0,0,0,0,0
30,0,30,1341,0,0,0,0,0,0
31,0,31,1490,0,0,0,0,0,0
98,0,98,1408,0,0,0,0,0,0
145,0,145,1287,0,0,0,0,0,0
139,0,139,1170,0,0,0,0,0,0
115,0,115,1191,0,0,0,0,0,0
119,0,119,1149,0,0,0,0,0,0
99,0,99,935,22,0,0,0,0,0
95,0,95,367,88,0,0,0,0,0
117,0,117,734,76,0,0,0,0,0
109,0,109,304,64,0,0,0,0,0
128,0,128,627,55,0,0,0,0,0
136,0,136,317,43,0,0,0,0,0
89,0,89,392,43,25,0,0,0,0
135,0,135,380,28,24,0,0,0,0
131,0,131,338,25,37,0,0,0,0
65,0,65,321,40,61,0,0,0,0
38,0,38,285,62,88,0,0,0,0
