0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,152,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0
0,141,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
0,139,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0
0,101,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0,108,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
0,138,46,46,20,0,0,0,0,0,0,0,0,0,0,0,0
0,117,69,69,21,20,0,0,0,0,0,0,0,0,0,0,0
0,122,59,59,45,34,0,0,0,0,0,0,0,0,0,0,0
0,125,65,65,61,24,0,0,0,0,0,0,0,0,0,0,0
0,117,42,42,55,72,0,0,0,0,0,0,0,0,0,0,0
0,108,39,39,67,64,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,54,75,0,0,0,0,0,0,0,0,0,0,0
0,81,29,29,92,77,0,0,0,0,0,0,0,0,0,0,0
0,124,28,28,127,52,0,0,0,0,0,0,0,0,0,0,0
0,113,0,0,113,56,0,0,0,0,0,0,0,0,0,0,0
0,132,0,0,114,20,0,0,0,0,0,0,0,0,0,0,0
0,118,38,38,110,118,0,0,0,0,0,0,0,0,0,0,0
0,127,63,63,111,127,0,0,0,0,0,0,0,0,0,0,0
0,93,103,103,99,93,0,0,0,0,0,0,0,0,0,0,0
0,89,53,53,83,89,0,0,0,0,0,0,0,0,0,0,0
0,89,71,71,106,89,0,0,0,0,0,0,0,0,0,0,0
0,73,38,38,111,73,0,0,0,0,0,0,0,0,0,0,0
0,72,53,53,88,72,0,0,0,0,0,0,0,0,0,0,0
0,38,94,94,75,38,0,0,0,0,0,0,0,0,0,0,0
0,41,84,84,63,41,0,0,0,0,0,0,0,0,0,0,0
0,61,107,107,69,61,0,0,0,0,0,0,0,0,0,0,0
0,76,90,90,63,76,0,0,0,0,0,0,0,0,0,0,0
0,124,118,118,38,124,0,0,0,0,0,0,0,0,0,0,0
0,98,119,119,29,98,0,0,0,0,0,0,0,0,0,0,0
0,81,91,91,30,81,0,0,0,0,0,0,0,0,0,0,0
0,47,90,90,0,47,22,57,0,0,0,0,0,0,0,0,0
0,31,92,92,0,31,70,70,0,0,0,0,0,0,0,0,0
0,25,107,107,22,25,87,87,0,0,0,0,0,0,0,0,0
0,27,66,66,24,27,89,89,0,0,0,0,0,0,0,0,0
