0,1,2,3,4,5,6,7,8,9,10,11,12
266,266,266,0,0,266,266,39,266,266,0,0,0
300,300,300,0,0,300,300,38,300,300,0,0,0
253,253,253,0,0,253,253,55,253,253,0,0,0
294,294,294,0,0,294,294,63,294,294,0,0,0
296,296,296,0,0,296,296,62,296,296,0,0,0
259,259,259,0,0,259,259,40,259,259,0,0,0
178,178,178,0,0,178,178,55,178,178,0,0,0
212,212,212,0,0,212,212,0,212,212,0,0,0
160,160,160,0,0,160,160,29,160,160,0,0,0
178,178,178,0,0,178,178,0,178,178,0,0,0
166,166,166,0,0,166,166,22,166,166,0,0,0
187,187,187,0,0,187,187,0,187,187,0,0,0
161,161,161,0,0,161,161,0,161,161,0,0,0
195,195,195,0,0,195,195,0,195,195,0,0,0
227,227,227,0,0,227,227,0,227,227,0,0,0
225,225,225,0,0,225,225,0,225,225,0,0,0
218,218,218,0,0,218,218,0,218,218,0,0,0
221,221,221,0,0,221,221,0,221,221,0,0,0
188,188,188,0,0,188,188,0,188,188,0,0,0
105,105,105,0,0,105,105,0,105,105,0,0,0
226,226,226,0,0,226,226,0,226,226,0,0,0
231,231,231,0,0,231,231,0,231,231,0,0,0
203,203,203,0,0,203,203,0,203,203,0,0,0
226,226,226,0,0,226,226,0,226,226,0,0,0
184,184,184,0,0,184,184,0,184,184,0,0,0
275,275,275,0,0,275,275,0,275,275,0,0,0
220,220,220,0,0,220,220,0,220,220,0,0,0
259,259,259,0,0,259,259,0,259,259,0,0,0
276,276,276,0,0,276,276,0,276,276,0,0,0
251,251,251,0,0,251,251,0,251,251,0,0,0
247,247,247,0,0,247,247,0,247,247,0,0,0
210,210,210,0,0,210,210,0,210,210,0,0,0
164,164,164,0,0,164,164,0,164,164,0,0,0
162,162,162,0,0,162,162,0,162,162,0,0,0
183,183,183,0,0,183,183,0,183,183,0,0,0
200,200,200,0,0,200,200,0,200,200,0,0,0
158,158,158,0,0,158,158,0,158,158,0,0,0
174,174,174,0,0,174,174,0,174,174,0,0,0
242,242,242,0,0,242,242,0,242,242,0,0,0
290,290,290,0,0,290,290,0,290,290,0,0,0
274,274,274,0,0,274,274,0,274,274,0,0,0
273,273,273,0,0,273,273,0,273,273,0,0,0
241,241,241,0,0,241,241,0,241,241,0,0,0
268,268,268,0,0,268,268,0,268,268,0,0,0
255,255,255,0,0,255,255,0,255,255,0,0,0
286,286,286,0,0,286,286,0,286,286,0,0,0
286,286,286,0,0,286,286,0,286,286,0,0,0
313,313,313,0,0,313,313,0,313,313,0,0,0
