0,1,2,3,4,5,6
284,284,284,343,0,0,0
280,280,280,425,0,0,0
215,215,215,526,0,0,0
236,236,236,589,0,0,0
173,173,173,624,0,0,0
139,139,139,630,0,0,0
106,106,106,702,0,0,0
79,79,79,716,0,0,0
79,79,79,363,0,0,0
53,53,53,439,0,0,0
37,37,37,519,0,0,0
27,27,27,473,0,0,0
0,0,0,542,0,0,0
0,0,0,496,0,0,0
0,0,0,456,0,0,0
21,21,21,414,0,0,0
0,0,0,382,0,0,0
0,0,0,525,0,0,0
0,0,0,525,0,0,0
0,0,0,484,0,0,0
0,0,0,521,0,0,0
0,0,0,573,0,0,0
0,0,0,622,0,0,0
0,0,0,633,0,0,0
0,0,0,521,0,0,0
0,0,0,516,0,0,0
0,0,0,492,0,0,0
0,0,0,395,0,0,0
0,0,0,478,0,0,0
0,0,0,413,0,0,0
0,0,0,333,0,0,0
0,0,0,252,0,0,0
0,0,0,157,0,0,0
0,0,0,113,0,0,0
0,0,0,110,0,0,0
0,0,0,79,0,0,0
0,0,0,50,0,0,0
0,0,0,47,0,0,0
0,0,0,72,0,0,0
0,0,0,74,0,0,0
0,0,0,59,0,0,0
0,0,0,107,0,0,0
0,0,0,123,0,0,0
0,0,0,93,0,0,0
0,0,0,80,0,0,0
0,0,0,82,0,0,0
0,0,0,58,0,0,0
0,0,0,110,0,0,0
0,0,0,117,0,0,0
0,0,0,110,0,0,0
0,0,0,152,0,0,0
0,0,0,194,0,0,0
0,0,0,224,0,0,0
0,0,0,314,0,0,0
0,0,0,437,0,0,0
0,0,0,425,0,0,0
0,0,0,506,0,0,0
0,0,0,657,0,0,0
0,0,0,852,0,0,0
0,0,0,1013,0,0,0
0,0,0,1177,0,0,0
0,0,0,1606,0,0,0
0,0,0,1915,0,0,0
0,0,0,2182,0,0,0
0,0,0,2041,0,0,0
0,0,0,2016,0,0,0
0,0,0,2235,0,0,0
0,0,0,2235,0,0,0
0,0,0,2113,0,0,0
0,0,0,2123,0,0,0
0,0,0,1957,0,0,0
0,0,0,1875,0,0,0
0,0,0,1648,0,0,0
0,0,0,1194,0,0,0
0,0,0,1019,0,0,0
0,0,0,801,29,0,0
0,0,0,700,0,0,0
