0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
807,553,807,82,42,553,807,31,82,807,0,36,36,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,548,849,79,27,548,849,46,79,849,0,27,27,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,632,979,49,26,632,979,61,49,979,0,57,57,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,526,883,52,0,526,883,59,52,883,0,60,60,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,618,971,83,20,618,971,66,83,971,0,88,88,822,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,643,974,61,0,643,974,72,61,974,0,55,55,831,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,653,1063,54,0,653,1063,62,54,1063,0,46,46,822,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,663,1029,45,20,663,1029,67,45,1029,0,34,34,809,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,733,936,42,23,733,936,99,42,936,0,21,21,741,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,709,924,30,0,709,924,110,30,924,0,39,39,702,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,759,1033,38,0,759,1033,109,38,1033,0,0,0,266,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,753,1004,75,0,753,1004,90,75,1004,0,21,21,537,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,899,974,51,25,899,974,143,51,974,0,35,35,634,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,915,903,35,21,915,903,133,35,903,0,0,0,559,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,874,1454,57,0,874,1454,129,57,1454,0,28,28,1454,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,675,1447,35,0,675,1447,124,35,1447,0,29,29,1447,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,603,925,28,0,603,925,141,28,925,0,28,28,925,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,531,854,26,0,531,854,122,26,854,0,48,48,854,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,490,820,56,21,490,820,135,56,820,0,53,53,820,51,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,448,936,41,0,448,936,113,41,936,0,77,77,936,46,41,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,418,1189,34,27,418,1189,99,34,1189,0,71,71,1189,49,34,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,414,1004,35,27,414,1004,101,35,1004,0,76,76,1004,71,35,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,376,1002,41,31,376,1002,99,41,1002,0,62,62,1002,92,41,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,351,1059,21,34,351,1059,76,21,1059,0,63,63,1059,84,21,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,341,827,56,46,341,827,55,56,827,0,132,132,827,77,56,827,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,263,844,22,44,263,844,104,22,844,0,166,166,844,74,22,844,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,238,729,31,61,238,729,63,31,729,0,155,155,729,74,31,729,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,258,756,25,88,258,756,55,25,756,0,155,155,756,60,25,756,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,25,34,60,0,25,57,34,25,0,140,140,25,60,34,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,27,35,51,0,27,52,35,27,0,129,129,27,44,35,27,39,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
