,Unnamed: 0,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
220,41,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_12,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
221,42,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_13,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
222,43,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_14,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
223,44,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_9,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
224,45,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_10,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
225,46,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_11,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
226,48,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_15,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
227,49,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_16,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
228,50,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_17,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
229,53,"[149.4791929056603, -29.89780208490567]",9.879,0.346,105.0,1.0,504.801,49.545,Jump_10,3.02896,21:04:00,53,"[149.8461, -29.4903]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 23.8125]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 21.675]","['21:05:00', '21:10:00', '21:15:00', '21:20:00', '21:25:00', '21:30:00', '21:35:00', '21:40:00', '21:45:00', '21:50:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-29.822937, 149.65948]]",10692.0,75.0,0.118,2021-02-24 21:04:00
230,54,"[149.68079271666673, -29.890672900000002]",7.743,0.956,156.0,24.0,739.884,446.121,Jump_11,4.02101,21:52:00,53,"[149.8461, -29.4903]","[10.875, 'NaN', 13.8125, 18.1875, 16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN']","[10.8688, 'NaN', 13.6, 17.8375, 16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN']","['21:55:00', '22:00:00', '22:05:00', '22:10:00', '22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00']","[[-29.858948, 149.70093], 'NaN', [-29.841003, 149.7528], [-29.841003, 149.78387], [-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN']",10810.0,-43.0,0.1193,2021-02-24 21:52:00
231,55,"[149.833109884131, -29.902046012594464]",7.269,2.392,391.0,6.0,1436.63,77.086,Jump_12,2.23444,22:14:00,53,"[149.8461, -29.4903]","[16.8125, 21.125, 18.375, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","[16.2875, 20.7125, 16.925, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']","['22:15:00', '22:20:00', '22:25:00', '22:30:00', '22:35:00', '22:40:00', '22:45:00', '22:50:00', '22:55:00', '23:00:00']","[[-29.850037, 149.82538], [-29.868042, 149.84613], [-29.868042, 149.86682], 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN']",10698.0,69.0,0.1181,2021-02-24 22:14:00
232,5,"[147.9173989157895, -23.63437251052632]",40.234,0.037,121.0,69.0,864.488,1293.491,Jump_2,11.77479,05:56:00,72,"[148.2392, -23.5498]","['NaN', 'NaN', 17.875, 'NaN', 'NaN', 10.25, 'NaN', 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 16.5, 'NaN', 'NaN', 10.25, 'NaN', 'NaN', 'NaN', 'NaN']","['06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00']","['NaN', 'NaN', [-23.4776, 147.94507], 'NaN', 'NaN', [-23.50476, 148.0921], 'NaN', 'NaN', 'NaN', 'NaN']",11421.0,-120.0,0.1261,2021-11-11 05:56:00
233,6,"[153.20235907843139, -27.684861970588244]",11.852,0.231,96.0,6.0,464.58,133.708,Jump_7,7.52392,05:08:00,66,"[153.24, -27.7178]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 14.0, 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 13.5375, 'NaN', 'NaN', 'NaN']","['05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-27.744629, 153.44324], 'NaN', 'NaN', 'NaN']",10937.0,47.0,0.1207,2021-11-11 05:08:00
234,7,"[153.20235907843139, -27.684861970588244]",11.852,0.231,96.0,6.0,464.58,133.708,Jump_8,7.52392,05:08:00,66,"[153.24, -27.7178]","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 14.0, 'NaN', 'NaN', 'NaN']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 13.5375, 'NaN', 'NaN', 'NaN']","['05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00']","['NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', [-27.744629, 153.44324], 'NaN', 'NaN', 'NaN']",10937.0,47.0,0.1207,2021-11-11 05:08:00
235,7,"[152.11816650442483, -27.55146736283186]",1.783,11.318,113.0,0.0,370.674,0.0,Jump_7,2.82668,05:42:00,50,"[152.539, -27.608]","[10.6875, 10.5, 19.75, 'NaN', 'NaN']","[10.6875, 10.5, 19.0375, 'NaN', 'NaN']","['05:51:00', '06:01:00', '06:11:00', '06:21:00', '06:31:00']","[[-28.047485, 151.96838], [-28.047668, 152.00916], [-28.04779, 152.03967], 'NaN', 'NaN']",10903.0,86.0,0.1203,2021-11-18 05:42:00
