,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
246,"[154.36583076802515, -32.934599175548605]",52.143,0.037,268.0,51.0,1754.257,1336.673,Jump_17,2.47786,23:16:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:16:00
247,"[154.49431531753564, -32.60520258293839]",21.452,0.146,186.0,25.0,1200.739,478.769,Jump_17,-0.92702,23:18:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:18:00
248,"[154.62177224113483, -32.841328141843974]",41.606,0.078,376.0,47.0,2532.161,1004.469,Jump_17,1.62859,23:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:20:00
249,"[154.58675215267186, -32.81306466921117]",40.182,0.077,355.0,38.0,2523.371,843.0,Jump_17,-0.22178,23:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:22:00
261,"[154.31165001518445, -32.81033679175704]",57.069,0.045,408.0,53.0,2656.133,1137.634,Jump_18,5.963,23:46:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:46:00
262,"[154.23771412134826, -32.76505162022471]",53.888,0.049,390.0,55.0,2621.296,1028.538,Jump_18,-0.13093,23:48:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:48:00
263,"[154.22374331276603, -32.76868068723402]",53.246,0.053,401.0,69.0,2536.421,1299.085,Jump_18,0.20263,23:50:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:50:00
264,"[154.24238614814817, -32.77538459454186]",52.071,0.06,446.0,67.0,2955.562,1418.985,Jump_18,0.37412,23:52:00,No_Radar,No_Radar,,,,,,,,2021-10-14 23:52:00
274,"[143.07961315254238, -35.245079830508466]",3.87,1.254,54.0,5.0,282.403,194.05,Jump_0,2.01074,01:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:38:00
275,"[143.06746773584908, -35.245182584905656]",3.094,1.762,46.0,7.0,224.641,55.487,Jump_0,-0.90453,01:40:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:40:00
276,"[143.07419845679013, -35.24739239506172]",3.508,2.095,80.0,1.0,383.746,5.654,Jump_0,3.59092,01:42:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:42:00
277,"[143.09218443902438, -35.23703425609755]",5.156,0.982,79.0,3.0,389.068,20.696,Jump_0,0.07676,01:44:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:44:00
278,"[143.0832284177215, -35.252170354430376]",3.136,2.557,76.0,3.0,342.631,13.931,Jump_0,-0.22404,01:46:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:46:00
279,"[143.09803174324324, -35.2488332972973]",5.218,0.865,72.0,2.0,471.633,72.38,Jump_0,-0.35778,01:48:00,No_Radar,No_Radar,,,,,,,,2021-10-14 01:48:00
322,"[143.7598870416666, -35.14455082291666]",7.145,0.599,86.0,10.0,410.13,179.246,Jump_1,11.2564,03:14:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:14:00
323,"[143.7293343692308, -35.1380084769231]",3.117,2.13,57.0,8.0,329.346,150.937,Jump_1,-1.32571,03:16:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:16:00
324,"[143.756378, -35.15145805681819]",5.546,0.911,76.0,12.0,386.876,158.504,Jump_1,0.80799,03:18:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:18:00
325,"[143.7811802835821, -35.15271398507463]",5.582,0.684,57.0,10.0,297.747,154.003,Jump_1,-0.69872,03:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:20:00
330,"[143.84557385714285, -35.17039898571431]",5.757,0.672,66.0,4.0,318.007,47.383,Jump_2,3.56093,03:30:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:30:00
331,"[143.8315676595745, -35.185809510638315]",4.829,0.641,37.0,10.0,149.315,131.783,Jump_2,-0.78211,03:32:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:32:00
332,"[143.85372344827587, -35.18528644827587]",5.122,0.352,25.0,4.0,144.964,45.893,Jump_2,-0.57478,03:34:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:34:00
333,"[143.8652802727273, -35.201735727272734]",5.177,0.261,17.0,5.0,141.4,73.908,Jump_2,-0.24028,03:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 03:36:00
364,"[144.08535173214287, -34.705264107142845]",20.333,0.043,50.0,6.0,258.039,133.001,Jump_3,5.47025,05:04:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:04:00
365,"[144.0128080677966, -34.69916179661017]",10.833,0.16,56.0,3.0,246.455,22.085,Jump_3,0.23534,05:06:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:06:00
366,"[144.00756759405942, -34.73669065346533]",9.211,0.379,90.0,11.0,367.547,165.661,Jump_3,3.26278,05:08:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:08:00
367,"[143.99494263440863, -34.75646493548387]",5.925,0.843,79.0,14.0,289.646,128.556,Jump_3,-0.39162,05:10:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:10:00
368,"[144.00812048148148, -34.768507209876546]",6.724,0.57,72.0,9.0,313.538,153.313,Jump_3,-0.57358,05:12:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:12:00
369,"[144.01573420792073, -34.77843186138613]",6.357,0.796,91.0,10.0,377.601,147.212,Jump_3,0.85218,05:14:00,No_Radar,No_Radar,,,,,,,,2021-10-14 05:14:00
398,"[151.2487715714286, -36.541303142857124]",10.468,0.285,89.0,9.0,388.639,164.504,Jump_0,3.09303,06:16:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:16:00
399,"[151.24814560999997, -36.5535834]",9.807,0.331,93.0,7.0,421.28,89.543,Jump_0,0.07376,06:18:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:18:00
400,"[151.2708820625, -36.59739545]",12.695,0.158,77.0,3.0,403.114,32.717,Jump_0,-0.72725,06:20:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:20:00
401,"[151.2470249069768, -36.567768]",9.485,0.152,38.0,5.0,161.08,90.444,Jump_0,-1.30635,06:22:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:22:00
416,"[151.31575268999998, -36.83296656999998]",15.07,0.14,89.0,11.0,394.366,181.746,Jump_1,3.1818,06:52:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:52:00
