,Unnamed: 0,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
55,69,"[150.90473176079712, -33.645762483942384]",20.965,0.654,860.0,43.0,3155.84,687.363,Jump_7,2.70114,05:00:00,71,"[151.2094, -33.7008]","[318.9375, 370.0625, 301.6875, 181.875, 122.375, 38.1875, 28.1875, 58.0, 91.625, 110.375, 169.375]","[198.3625, 141.3125, 202.8938, 155.775, 91.2938, 33.9312, 19.0188, 40.1688, 58.3563, 93.9625, 118.1875]","['05:00:00', '05:05:00', '05:10:00', '05:15:00', '05:20:00', '05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00']","[[-33.727173, 150.82013], [-33.727295, 150.85254], [-33.763367, 150.9065], [-33.790466, 150.93884], [-33.826477, 150.97125], [-33.853516, 150.9928], [-33.47589, 151.34955], [-33.502808, 151.38196], [-33.88965, 151.13354], [-33.9256, 151.14435], [-33.943604, 151.20941]]",10311.0,5.0,0.1138,2021-10-14 05:00:00
56,70,"[151.17464829761906, -33.6631087547619]",25.169,0.211,369.0,51.0,1244.768,707.018,Jump_8,2.08113,05:24:00,71,"[151.2094, -33.7008]","[38.1875, 28.1875, 58.0, 91.625, 110.375, 169.375, 164.125, 70.1875, 39.6875, 56.4375]","[33.9312, 19.0188, 40.1625, 53.6875, 88.925, 100.4688, 99.9375, 42.4125, 27.275, 48.75]","['05:25:00', '05:30:00', '05:35:00', '05:40:00', '05:45:00', '05:50:00', '05:55:00', '06:00:00', '06:05:00', '06:10:00']","[[-33.853516, 150.9928], [-33.47589, 151.34955], [-33.502808, 151.38196], [-33.88965, 151.13354], [-33.9256, 151.14435], [-33.943604, 151.20941], [-33.59253, 151.50092], [-33.619385, 151.54419], [-33.637268, 151.59827], [-33.664124, 151.6308]]",10280.0,36.0,0.1135,2021-10-14 05:24:00
57,71,"[151.31752203780067, -33.88367023024057]",21.448,0.201,260.0,31.0,883.933,440.628,Jump_9,3.63702,05:56:00,54,"[151.2263, -34.0148]","['NaN', 'NaN', 57.0625, 47.6875, 58.5, 33.875, 18.375, 'NaN', 32.375, 34.9375]","['NaN', 'NaN', 47.9062, 36.5188, 42.475, 30.3438, 17.775, 'NaN', 28.5625, 26.8125]","['06:00:00', '06:05:00', '06:10:00', '06:15:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00']","['NaN', 'NaN', [-33.672424, 151.62616], [-33.69922, 151.6695], [-33.726074, 151.71289], [-33.75287, 151.75629], [-33.77063, 151.79968], 'NaN', [-33.420837, 150.90308], [-33.753967, 151.2804]]",10304.0,-57.0,0.1137,2021-10-14 05:56:00
58,11,"[152.56668721834075, -26.242542231441032]",16.908,1.02,897.0,19.0,3908.101,341.313,Jump_9,2.25532,07:36:00,8,"[152.5768, -25.9574]","[286.375, 287.3125, 279.625, 166.125, 116.25, 111.75, 84.0, 101.375, 115.75, 279.0]","[113.075, 129.4, 118.6, 129.1625, 87.25, 84.5562, 66.2688, 53.95, 67.6, 108.725]","['07:40:00', '07:45:00', '07:50:00', '07:55:00', '08:00:00', '08:05:00', '08:10:00', '08:15:00', '08:20:00', '08:25:00']","[[-26.182068, 152.37634], [-26.182129, 152.38641], [-26.173096, 152.38641], [-26.182129, 152.38641], [-26.092285, 152.54675], [-26.083313, 152.54675], [-26.092285, 152.53674], [-26.047302, 152.53674], [-26.11914, 152.36646], [-26.110168, 152.37646]]",11030.0,64.0,0.1217,2021-10-26 07:36:00
59,12,"[152.3725928963894, -26.437368801412873]",49.254,0.167,1233.0,41.0,6395.082,682.13,Jump_10,2.68529,07:48:00,8,"[152.5768, -25.9574]","[279.625, 166.125, 116.25, 111.75, 84.0, 101.375, 115.75, 279.0, 313.0, 97.375]","[113.1875, 129.1625, 87.25, 83.6625, 66.2688, 53.95, 64.0, 107.8875, 116.1, 55.45]","['07:50:00', '07:55:00', '08:00:00', '08:05:00', '08:10:00', '08:15:00', '08:20:00', '08:25:00', '08:30:00', '08:35:00']","[[-26.173096, 152.38641], [-26.182129, 152.38641], [-26.092285, 152.54675], [-26.083313, 152.54675], [-26.092285, 152.53674], [-26.047302, 152.53674], [-26.11914, 152.36646], [-26.110168, 152.37646], [-26.101196, 152.39655], [-26.092224, 152.40656]]",11106.0,-12.0,0.1226,2021-10-26 07:48:00
60,13,"[152.14424131125813, -25.875468298013253]",15.045,0.637,436.0,17.0,2258.066,271.349,Jump_11,2.06166,09:44:00,8,"[152.5768, -25.9574]","[271.5, 615.0, 532.875, 504.6875, 344.0625, 187.3125, 276.6875, 317.3125, 276.4375, 130.0625]","[145.725, 324.575, 229.1063, 254.0, 167.45, 104.85, 139.1375, 135.1, 161.3125, 72.8875]","['09:45:00', '09:50:00', '09:55:00', '10:00:00', '10:05:00', '10:10:00', '10:15:00', '10:20:00', '10:25:00', '10:30:00']","[[-25.8844, 152.01703], [-25.866455, 152.0271], [-25.839478, 152.02722], [-25.8125, 152.02734], [-25.794495, 152.0274], [-25.767456, 152.00757], [-25.633484, 152.37732], [-25.61554, 152.37732], [-25.597534, 152.38733], [-25.570557, 152.39734]]",11086.0,8.0,0.1224,2021-10-26 09:44:00
61,14,"[152.2378206118882, -25.660461034965042]",19.834,0.231,273.0,13.0,1184.222,279.297,Jump_12,2.43749,10:26:00,8,"[152.5768, -25.9574]","[130.0625, 73.4375, 65.125, 79.9375, 95.1875, 126.8125, 75.375, 35.375, 50.3125, 67.4375]","[76.95, 48.05, 38.75, 67.9125, 62.1875, 77.8875, 52.9125, 27.625, 30.225, 36.0312]","['10:30:00', '10:35:00', '10:40:00', '10:45:00', '10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00']","[[-25.570557, 152.39734], [-25.552612, 152.3974], [-25.632263, 151.93842], [-25.605408, 151.97845], [-25.587341, 151.95862], [-25.560425, 151.96869], [-25.54242, 151.96881], [-25.524414, 151.95892], [-25.515198, 151.90912], [-25.497192, 151.89929]]",11170.0,-76.0,0.1233,2021-10-26 10:26:00
62,15,"[152.16342882909086, -25.56499207636364]",20.844,0.201,247.0,28.0,1020.192,403.549,Jump_13,3.18357,10:48:00,8,"[152.5768, -25.9574]","[95.1875, 126.8125, 75.375, 35.375, 50.3125, 67.4375, 45.9375, 33.5625, 35.5625, 44.5625]","[62.1875, 77.8875, 52.9125, 27.625, 30.225, 36.0312, 33.9875, 24.5438, 26.3688, 29.3313]","['10:50:00', '10:55:00', '11:00:00', '11:05:00', '11:10:00', '11:15:00', '11:20:00', '11:25:00', '11:30:00', '11:35:00']","[[-25.587341, 151.95862], [-25.560425, 151.96869], [-25.54242, 151.96881], [-25.524414, 151.95892], [-25.515198, 151.90912], [-25.497192, 151.89929], [-25.372437, 152.2384], [-25.37262, 152.30804], [-25.300598, 152.26843], [-25.300598, 152.28833]]",11147.0,-53.0,0.123,2021-10-26 10:48:00
63,16,"[152.70013580769233, -26.38407925164838]",13.249,1.65,892.0,18.0,4062.75,196.073,Jump_8,3.86735,07:08:00,8,"[152.5768, -25.9574]","[418.625, 211.0625, 108.3125, 122.375, 107.8125, 148.125, 286.375, 287.3125, 279.625, 166.125]","[223.3438, 144.6, 70.5312, 83.325, 71.4875, 75.8, 113.075, 129.4, 118.6, 129.1625]","['07:10:00', '07:15:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '07:45:00', '07:50:00', '07:55:00']","[[-26.370972, 152.7575], [-26.379944, 152.7575], [-26.155273, 152.55676], [-26.155273, 152.56677], [-26.155273, 152.56677], [-26.182068, 152.37634], [-26.182068, 152.37634], [-26.182129, 152.38641], [-26.173096, 152.38641], [-26.182129, 152.38641]]",11163.0,-69.0,0.1232,2021-10-26 07:08:00
64,17,"[152.56668721834075, -26.242542231441032]",16.908,1.02,897.0,19.0,3908.101,341.313,Jump_9,2.25532,07:36:00,8,"[152.5768, -25.9574]","[286.375, 287.3125, 279.625, 166.125, 116.25, 111.75, 84.0, 101.375, 115.75, 279.0]","[113.075, 129.4, 118.6, 129.1625, 87.25, 84.5562, 66.2688, 53.95, 67.6, 108.725]","['07:40:00', '07:45:00', '07:50:00', '07:55:00', '08:00:00', '08:05:00', '08:10:00', '08:15:00', '08:20:00', '08:25:00']","[[-26.182068, 152.37634], [-26.182129, 152.38641], [-26.173096, 152.38641], [-26.182129, 152.38641], [-26.092285, 152.54675], [-26.083313, 152.54675], [-26.092285, 152.53674], [-26.047302, 152.53674], [-26.11914, 152.36646], [-26.110168, 152.37646]]",11030.0,64.0,0.1217,2021-10-26 07:36:00
