539,247,643,0,0,0,0,0,0,0,0,0,0
554,156,696,0,0,0,0,0,0,0,0,0,0
682,225,722,0,0,0,0,0,0,0,0,0,0
671,277,770,0,0,0,0,0,0,0,0,0,0
734,308,657,0,0,0,0,0,0,0,0,0,0
865,308,624,0,0,0,0,0,0,0,0,0,0
767,276,651,0,0,0,0,0,0,0,0,0,0
854,286,657,26,0,0,0,0,0,0,0,0,0
921,164,728,43,0,0,0,0,0,0,0,0,0
1048,162,668,58,0,0,0,0,0,0,0,0,0
1217,168,625,37,0,0,0,0,0,0,0,0,0
1173,207,669,51,0,0,0,0,0,0,0,0,0
1336,194,696,51,0,0,0,0,0,0,0,0,0
2059,211,2059,71,0,0,0,0,0,0,0,0,0
152,219,152,102,0,0,0,0,0,0,0,0,0
131,214,131,162,0,0,0,0,0,0,0,0,0
1777,239,1777,149,0,0,0,0,0,0,0,0,0
1991,254,1991,236,305,0,0,0,0,0,0,0,0
2151,274,2151,379,251,0,0,0,0,0,0,0,0
2181,256,2181,507,216,0,0,0,0,0,0,0,0
2302,329,2302,411,166,0,0,0,0,0,0,0,0
2441,200,2441,312,156,0,0,0,0,0,0,0,0
2307,238,2307,197,184,0,0,0,0,0,0,0,0
2412,241,2412,139,219,0,0,0,0,0,0,0,0
2349,155,2349,91,192,0,0,0,0,0,0,0,0
2523,160,2523,81,0,0,0,0,0,0,0,0,0
2641,156,2641,58,71,0,0,0,0,0,0,0,0
2731,181,2731,60,63,0,0,0,0,0,0,0,0
2675,211,2675,46,60,0,0,0,0,0,0,0,0
2554,231,2554,37,47,0,0,0,0,0,0,0,0
2504,232,2504,38,38,0,0,0,0,0,0,0,0
2280,207,2280,25,21,0,0,0,0,0,0,0,0
2128,164,2128,32,27,0,0,0,0,0,0,0,0
2232,174,2232,33,31,0,0,0,0,0,0,0,0
2088,197,2088,44,26,0,0,0,0,0,0,0,0
2060,147,2060,42,30,0,0,0,0,0,0,0,0
1947,151,1947,47,35,0,0,0,0,0,0,0,0
2100,150,2100,45,56,0,0,0,0,0,0,0,0
2162,158,2162,25,56,0,0,0,0,0,0,0,0
2159,199,2159,26,48,0,0,0,0,0,0,0,0
2075,211,2075,0,62,0,0,0,0,0,0,0,0
2044,191,2044,37,81,0,0,0,0,0,0,0,0
1921,192,1921,36,109,34,0,0,0,0,0,0,0
1807,224,1807,51,118,0,0,0,0,0,0,0,0
1682,220,1682,43,176,0,0,0,0,0,0,0,0
1589,199,1589,31,219,0,0,0,0,0,0,0,0
1204,175,1204,33,220,34,0,0,0,0,0,0,0
1505,120,1505,23,202,39,0,0,0,0,0,0,0
1233,75,1233,33,152,47,0,0,0,0,0,0,0
1507,55,1507,39,153,53,0,0,0,0,0,0,0
1359,47,1359,30,123,72,0,0,0,0,0,0,0
1287,38,1287,0,118,88,0,0,0,0,0,0,0
1161,37,1161,46,153,66,0,0,0,0,0,0,0
1296,48,1296,35,113,45,22,0,0,0,0,0,0
918,75,918,44,90,26,0,0,0,0,0,0,0
1113,90,1113,37,92,41,21,0,0,0,0,0,0
1198,77,1198,39,90,40,22,0,0,0,0,0,0
1317,65,1317,47,58,33,0,0,0,0,0,0,0
721,55,721,68,33,37,0,0,0,0,0,0,0
1068,70,1068,65,70,48,0,0,0,0,0,0,0
1064,52,1064,103,52,43,0,0,0,0,0,0,0
597,46,597,94,46,35,0,0,0,0,0,0,0
855,38,855,81,38,20,0,0,0,0,0,0,0
814,32,814,68,32,0,0,0,0,0,0,0,0
918,23,918,58,23,27,0,0,0,0,0,0,0
928,27,928,36,27,40,0,0,0,0,0,0,0
647,0,647,46,0,38,0,0,0,0,0,0,0
624,26,624,31,26,31,0,0,0,0,0,0,0
653,22,653,0,22,47,26,0,0,0,0,0,0
581,0,581,31,0,45,0,0,0,0,0,0,0
329,22,329,35,22,46,0,0,0,0,0,0,0
295,27,295,53,27,56,0,0,0,0,0,0,0
268,0,268,47,0,51,0,0,0,0,0,0,0
181,26,181,75,26,77,26,0,0,0,0,0,0
97,0,97,85,0,33,0,0,0,0,0,0,0
47,20,47,107,20,45,20,0,0,0,0,0,0
52,21,52,97,21,101,21,0,0,0,0,0,0
87,0,87,97,0,77,0,0,0,0,0,0,0
285,0,285,87,0,87,0,0,0,0,0,0,0
314,23,314,72,23,50,23,0,0,0,0,0,0
473,0,473,37,0,55,0,0,0,0,0,0,0
585,0,585,40,0,59,0,0,0,0,0,0,0
532,21,532,31,21,64,21,0,0,0,0,0,0
590,41,590,30,41,40,41,0,0,0,0,0,0
798,44,798,44,44,50,44,23,0,0,0,0,0
884,44,884,44,44,58,44,32,0,0,0,0,0
1106,49,1106,49,49,78,49,22,0,0,0,0,0
1212,43,1212,43,43,76,43,23,0,0,0,0,0
1313,63,1313,63,63,57,63,22,0,0,0,0,0
1279,85,1279,85,85,51,85,30,0,0,0,0,0
1211,110,1211,110,110,49,110,36,0,0,0,0,0
1165,127,1165,127,127,33,127,22,0,0,0,0,0
1173,89,1173,89,89,33,89,71,0,0,0,0,0
1206,75,1206,75,75,21,75,79,0,0,0,0,0
1418,89,1418,89,89,0,89,50,0,0,0,0,0
1291,114,1291,114,114,25,114,69,0,0,0,0,0
1274,106,1274,106,106,41,106,79,0,0,0,0,0
1343,105,1343,105,105,22,105,99,0,0,0,0,0
1460,80,1460,80,80,25,80,105,0,0,0,0,0
1525,99,1525,99,99,0,99,102,0,0,0,0,0
1781,83,1781,83,83,32,83,122,0,0,0,0,0
1815,50,1815,50,50,0,50,91,0,0,0,0,0
1780,48,1780,48,48,20,48,122,0,0,0,0,0
1862,32,1862,32,32,0,32,136,0,0,0,0,0
1869,44,1869,44,44,0,44,157,0,0,0,0,0
1853,0,1853,0,0,0,0,281,0,0,0,0,0
1764,35,1764,35,35,0,35,344,0,0,0,0,0
1690,0,1690,0,0,0,0,360,0,0,0,0,0
1492,0,1492,0,0,0,0,316,0,0,0,0,0
860,20,860,20,20,0,20,235,0,0,0,0,0
1069,0,1069,0,0,0,0,209,0,0,0,0,0
975,41,975,41,41,0,41,191,0,0,0,0,0
858,49,858,49,49,0,49,206,0,0,0,0,0
786,56,786,56,56,0,56,155,0,0,0,0,0
668,65,668,65,65,0,65,165,0,0,0,0,0
731,51,731,51,51,0,51,218,0,0,0,0,0
1568,81,1568,81,81,0,81,245,0,0,0,0,0
652,76,652,76,76,0,76,342,0,0,0,0,0
288,58,288,58,58,0,58,341,0,0,0,0,0
606,72,606,72,72,0,72,368,0,0,0,0,0
523,78,523,78,78,0,78,362,0,0,0,0,0
802,72,802,72,72,0,72,308,0,0,0,0,0
489,92,489,92,92,0,92,251,0,0,0,0,0
536,90,536,90,90,0,90,217,0,0,0,0,0
570,87,570,87,87,0,87,200,0,0,0,0,0
