426,426,0,816,0,0,426
423,423,0,531,0,0,423
315,315,0,866,0,0,315
282,282,0,595,0,0,282
265,265,0,545,0,0,265
245,245,0,813,0,0,245
256,256,0,616,0,0,256
337,337,0,467,0,0,337
306,306,0,430,0,0,306
237,237,0,382,0,0,237
216,216,0,425,0,0,216
253,253,0,459,0,0,253
254,254,0,416,0,0,254
261,261,0,486,0,0,261
205,205,0,392,0,0,205
238,238,0,442,0,0,238
241,241,0,504,0,0,241
216,216,0,466,0,0,216
240,240,0,567,0,0,240
212,212,0,694,0,0,212
228,228,0,717,0,0,228
233,233,0,654,0,0,233
243,243,0,602,0,0,243
206,206,0,499,0,0,206
202,202,0,368,0,0,202
224,224,0,379,0,0,224
250,250,0,451,0,0,250
262,262,0,454,0,0,262
234,234,0,493,0,0,234
258,258,0,471,0,37,258
195,195,0,510,0,48,195
203,203,0,389,0,55,203
265,265,0,269,0,74,265
302,302,0,239,0,81,302
389,389,0,249,0,98,389
358,358,0,239,0,76,358
453,453,0,174,0,64,453
503,503,0,130,0,62,503
596,596,0,122,0,64,596
604,604,0,130,0,101,604
571,571,0,128,0,110,571
521,521,0,107,0,137,521
536,536,0,59,0,127,536
477,477,0,44,0,153,477
420,420,0,26,0,150,420
407,407,0,29,0,137,407
357,357,0,35,0,140,357
312,312,0,33,0,144,312
332,332,0,33,0,116,332
313,313,0,28,0,150,313
330,330,0,22,0,144,330
374,374,0,49,0,247,374
325,325,0,20,0,229,325
266,266,0,159,0,208,266
257,257,0,213,0,139,257
251,251,0,220,0,130,251
228,228,0,199,0,95,228
286,286,0,217,0,101,286
306,306,0,223,0,95,306
328,328,0,184,0,152,328
312,312,0,112,0,240,312
305,305,0,70,0,301,305
264,264,0,78,0,328,264
219,219,0,32,0,273,219
205,205,0,21,0,255,205
182,182,0,26,0,285,182
195,195,0,117,0,249,195
201,201,0,77,0,207,201
275,275,0,98,0,150,275
349,349,0,67,0,95,349
423,423,0,34,0,90,423
578,578,0,29,0,65,578
473,473,0,33,0,38,473
457,457,0,30,0,26,457
470,470,0,38,0,32,470
489,489,0,33,0,22,489
436,436,0,40,0,55,436
441,441,0,38,0,123,441
327,327,0,73,0,111,327
356,356,0,53,0,236,356
294,294,0,41,0,324,294
195,195,0,46,0,336,195
280,280,0,45,0,285,280
280,280,0,64,0,315,280
283,283,0,36,0,264,283
301,301,0,52,0,289,301
273,273,0,61,0,258,273
275,275,0,108,0,271,275
283,283,0,86,0,281,283
245,245,0,79,0,236,245
246,246,0,104,0,261,246
205,205,0,107,0,264,205
203,203,0,119,0,238,203
260,260,0,91,0,215,260
334,334,0,81,0,153,334
280,280,0,69,0,222,280
254,254,0,54,0,208,254
261,261,0,42,0,185,261
291,291,0,22,0,173,291
302,302,0,20,0,223,302
251,251,0,41,0,219,251
276,276,0,39,0,204,276
235,235,0,29,0,171,235
299,299,0,40,0,189,299
236,236,0,28,0,240,236
247,247,0,0,0,179,247
289,289,0,0,0,205,289
289,289,0,0,0,205,289
304,304,0,0,0,167,304
276,276,0,0,0,131,276
262,262,0,0,0,98,262
304,304,0,0,0,127,304
308,308,0,0,0,93,308
354,354,0,0,0,89,354
322,322,0,0,0,54,322
422,422,0,0,0,51,422
516,516,0,0,0,61,516
520,520,0,0,0,29,520
569,569,0,0,0,29,569
675,675,0,0,0,32,675
646,646,0,0,0,27,646
655,655,0,0,0,25,655
663,663,0,0,0,34,663
626,626,0,0,0,27,626
593,593,0,0,0,56,593
