0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
617,153,153,344,344,344,190,51,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,143,143,416,416,416,185,52,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,145,145,415,415,415,138,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,113,113,346,346,346,108,64,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,124,124,433,433,433,94,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,73,73,409,409,409,96,90,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,54,54,362,362,362,71,75,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,37,37,320,320,320,95,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,33,33,462,462,462,99,67,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,30,30,472,472,472,85,42,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,219,219,590,590,590,84,53,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,278,278,586,586,586,83,53,278,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,156,156,736,736,736,51,32,156,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,199,199,264,264,264,55,38,199,69,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,92,92,455,455,455,60,38,92,63,42,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,46,46,434,434,434,49,29,46,45,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,70,70,529,529,529,41,51,70,45,37,145,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,65,65,753,753,753,23,54,65,67,26,114,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,53,53,701,701,701,23,608,53,86,31,222,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,22,22,627,627,627,22,534,22,104,38,313,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,25,25,585,585,585,0,596,25,75,25,356,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,0,0,450,450,450,0,542,0,82,0,362,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,43,43,492,492,492,0,529,43,121,43,310,529,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,44,44,485,485,485,23,368,44,144,44,328,368,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,65,65,587,587,587,23,458,65,108,65,356,458,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,43,43,713,713,713,28,293,43,86,43,344,293,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
